frequency	intensity
450	0
454	0.008
458	0.002
462	0.012
466	0.004
470	0.008
474	0.007
478	0.008
482	0.009
486	0.008
490	0.006
494	0.003
498	0.005
502	0.005
506	0.008
510	0.004
514	0.004
518	0.003
522	0.004
526	0.003
530	0.004
534	0.006
538	0.006
542	0.008
546	0.008
550	0.009
554	0.008
558	0.01
562	0.01
566	0.008
570	0.008
574	0.008
578	0.008
582	0.007
586	0.005
590	0.008
594	0.009
598	0.008
602	0.006
606	0.007
610	0.004
614	0.007
618	0.005
622	0.007
626	0.005
630	0.007
634	0.005
638	0.006
642	0.006
646	0.005
650	0.007
654	0.004
658	0.008
662	0.003
666	0.01
670	0.006
674	0.011
678	0.006
682	0.009
686	0.008
690	0.009
694	0.011
698	0.009
702	0.007
706	0.007
710	0.009
714	0.006
718	0.008
722	0.007
726	0.008
730	0.007
734	0.007
738	0.011
742	0.013
746	0.02
750	0.025
754	0.032
758	0.026
762	0.027
766	0.029
770	0.027
774	0.021
778	0.019
782	0.016
786	0.02
790	0.041
794	0.082
798	0173
802	0345
806	0643
810	1064
814	1473
818	1746
822	1787
826	1967
830	1713
834	1477
838	0452
842	0143
846	0132
850	0147
854	0163
858	0182
862	0199
866	0209
870	0225
874	0233
878	0257
882	0263
886	0268
890	0286
894	0329
898	0434
902	0352
906	0246
910	031
914	0286
918	0292
922	0268
926	0258
930	0233
934	0206
938	0188
942	0161
946	0142
950	0114
954	0101
958	0.081
962	0.073
966	0.062
970	0.056
974	0.044
978	0.041
982	0.047
986	0.042
990	0.028
994	0.018
998	0.014
1002	0.011
1006	0.011
1010	0.012
1014	0.011
1018	0.012
1022	0.012
1026	0.013
1030	0.012
1034	0.014
1038	0.012
1042	0.012
1046	0.011
1050	0.011
1054	0.012
1058	0.01
1062	0.012
1066	0.012
1070	0.014
1074	0.012
1078	0.015
1082	0.013
1086	0.013
1090	0.013
1094	0.013
1098	0.014
1102	0.014
1106	0.015
1110	0.013
1114	0.014
1118	0.013
1122	0.014
1126	0.014
1130	0.014
1134	0.016
1138	0.018
1142	0.02
1146	0.021
1150	0.027
1154	0.028
1158	0.032
1162	0.033
1166	0.037
1170	0.038
1174	0.04
1178	0.044
1182	0.053
1186	0.089
1190	0169
1194	0283
1198	0269
1202	0219
1206	03
1210	0322
1214	0192
1218	0.093
1222	0.052
1226	0.043
1230	0.039
1234	0.036
1238	0.032
1242	0.03
1246	0.027
1250	0.024
1254	0.022
1258	0.019
1262	0.018
1266	0.015
1270	0.014
1274	0.013
1278	0.012
1282	0.012
1286	0.011
1290	0.011
1294	0.011
1298	0.011
1302	0.011
1306	0.011
1310	0.011
1314	0.011
1318	0.01
1322	0.01
1326	0.011
1330	0.011
1334	0.011
1338	0.009
1342	0.009
1346	0.011
1350	0.01
1354	0.01
1358	0.009
1362	0.01
1366	0.008
1370	0.011
1374	0.007
1378	0.01
1382	0.009
1386	0.01
1390	0.008
1394	0.008
1398	0.008
1402	0.009
1406	0.009
1410	0.01
1414	0.011
1418	0.007
1422	0.009
1426	0.01
1430	0.01
1434	0.009
1438	0.009
1442	0.011
1446	0.012
1450	0.009
1454	0.011
1458	0.006
1462	0.007
1466	0.014
1470	0.007
1474	0.009
1478	0.01
1482	0.012
1486	0.009
1490	0.011
1494	0.01
1498	0.008
1502	0.012
1506	0.009
1510	0.003
1514	0.012
1518	0.007
1522	0.005
1526	0.009
1530	0.01
1534	0.012
1538	0.005
1542	0.01
1546	0.006
1550	0.015
1554	0.008
1558	0.012
1562	0.004
1566	0.014
1570	0.01
1574	0.015
1578	0.008
1582	0.018
1586	0.013
1590	0.015
1594	0.015
1598	0.015
1602	0.016
1606	0.015
1610	0.019
1614	0.013
1618	0.02
1622	0.017
1626	0.024
1630	0.025
1634	0.035
1638	0.045
1642	0.069
1646	0.09
1650	0126
1654	0.096
1658	0.091
1662	011
1666	0.09
1670	0.053
1674	0.035
1678	0.023
1682	0.026
1686	0.013
1690	0.02
1694	0.016
1698	0.014
1702	0.006
1706	0.013
1710	0.012
1714	0.01
1718	0.006
1722	0.01
1726	0.01
1730	0.007
1734	0.009
1738	0.005
1742	0.011
1746	0.008
1750	0.008
1754	0.008
1758	0.011
1762	0.008
1766	0.01
1770	0.009
1774	0.006
1778	0.012
1782	0.008
1786	0.014
1790	0.008
1794	0.012
1798	0.011
1802	0.012
1806	0.012
1810	0.012
1814	0.011
1818	0.012
1822	0.013
1826	0.01
1830	0.012
1834	0.01
1838	0.014
1842	0.008
1846	0.009
1850	0.009
1854	0.01
1858	0.008
1862	0.01
1866	0.008
1870	0.006
1874	0.009
1878	0.007
1882	0.009
1886	0.007
1890	0.008
1894	0.007
1898	0.008
1902	0.008
1906	0.007
1910	0.007
1914	0.007
1918	0.006
1922	0.007
1926	0.007
1930	0.008
1934	0.007
1938	0.007
1942	0.006
1946	0.007
1950	0.007
1954	0.007
1958	0.006
1962	0.007
1966	0.006
1970	0.007
1974	0.007
1978	0.007
1982	0.007
1986	0.007
1990	0.007
1994	0.006
1998	0.007
2002	0.007
2006	0.007
2010	0.007
2014	0.007
2018	0.007
2022	0.007
2026	0.007
2030	0.007
2034	0.007
2038	0.007
2042	0.007
2046	0.007
2050	0.008
2054	0.007
2058	0.008
2062	0.007
2066	0.007
2070	0.007
2074	0.008
2078	0.009
2082	0.01
2086	0.012
2090	0.013
2094	0.014
2098	0.014
2102	0.014
