# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      36       0       36.2678112000
      35       0       34.7112326000
      34       0        4.0638096200
      33       0        3.9674078000
      32       0        3.7068864600
      31       0        3.7068864600
      30       0        3.3373455900
      29       0        3.3373455900
      28       0        2.9680839900
      27       0        2.7262249200
      26       0        2.7262249200
      25       0        2.2947714500
      24       0        2.0771449900
      23       0        2.0771436700
      22       0        1.6061624700
      21       0        1.6061624700
      20       0        1.5620646800
      19       0        1.5620631400
      18       0        1.0300637200
      17       0        0.6681063560
      16       0        0.5800611150
      15       0        0.5800611150
      14       0        0.5184158760
      13       0        0.4239765160
      12       0        0.4205627610
      11       0        0.4205627610
      10       0        0.3262948250
       9       0       -0.0995732093
       8       0       -0.0995732093
       7       2       -0.4355290380
       6       2       -0.4828607200
       5       2       -0.4828607200
       4       2       -0.5210214110
       3       2       -1.1239749100
       2       2      -14.0323118000
       1       2      -14.0337598000
