Labels	ph02emmissions_320_330	
Type	Emission Scan	
Comment		
Start	330.00	
Stop	550.00	
Step	1.00	
Fixed/Offset	320.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	1.00	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

330.00	2.80333008E+4	
331.00	3.78667148E+4	
332.00	4.74889297E+4	
333.00	5.71200469E+4	
334.00	6.72638750E+4	
335.00	7.65245547E+4	
336.00	8.55653203E+4	
337.00	9.36655938E+4	
338.00	1.00309156E+5	
339.00	1.06831969E+5	
340.00	1.11708867E+5	
341.00	1.14433742E+5	
342.00	1.18146555E+5	
343.00	1.20831477E+5	
344.00	1.23010844E+5	
345.00	1.25144625E+5	
346.00	1.27235211E+5	
347.00	1.28681922E+5	
348.00	1.30468625E+5	
349.00	1.30693578E+5	
350.00	1.31233328E+5	
351.00	1.31531656E+5	
352.00	1.31856328E+5	
353.00	1.31652406E+5	
354.00	1.31721766E+5	
355.00	1.31417906E+5	
356.00	1.30042461E+5	
357.00	1.28782820E+5	
358.00	1.26208852E+5	
359.00	1.23025039E+5	
360.00	1.19115617E+5	
361.00	1.15062844E+5	
362.00	1.11032523E+5	
363.00	1.07145031E+5	
364.00	1.04316711E+5	
365.00	1.01131492E+5	
366.00	9.76706797E+4	
367.00	9.45751094E+4	
368.00	9.11711094E+4	
369.00	8.80445000E+4	
370.00	8.53178516E+4	
371.00	8.20423203E+4	
372.00	7.91432344E+4	
373.00	7.63377031E+4	
374.00	7.39091875E+4	
375.00	7.09500078E+4	
376.00	6.79725156E+4	
377.00	6.52938125E+4	
378.00	6.30024609E+4	
379.00	6.05511602E+4	
380.00	5.76954063E+4	
381.00	5.52119023E+4	
382.00	5.27230391E+4	
383.00	5.09987578E+4	
384.00	4.84139531E+4	
385.00	4.66962539E+4	
386.00	4.50362539E+4	
387.00	4.32212969E+4	
388.00	4.15663945E+4	
389.00	4.00920898E+4	
390.00	3.81884531E+4	
391.00	3.69011211E+4	
392.00	3.57418516E+4	
393.00	3.41674961E+4	
394.00	3.32578398E+4	
395.00	3.21892090E+4	
396.00	3.09184961E+4	
397.00	3.03034063E+4	
398.00	2.92410723E+4	
399.00	2.85318613E+4	
400.00	2.75653789E+4	
401.00	2.68106426E+4	
402.00	2.63298164E+4	
403.00	2.53710605E+4	
404.00	2.48974668E+4	
405.00	2.41909336E+4	
406.00	2.36879785E+4	
407.00	2.31217441E+4	
408.00	2.24913047E+4	
409.00	2.21461133E+4	
410.00	2.13175566E+4	
411.00	2.10719219E+4	
412.00	2.04054121E+4	
413.00	1.99147734E+4	
414.00	1.95223770E+4	
415.00	1.91244238E+4	
416.00	1.87626133E+4	
417.00	1.83468594E+4	
418.00	1.80360547E+4	
419.00	1.77400098E+4	
420.00	1.71453184E+4	
421.00	1.68890625E+4	
422.00	1.65976406E+4	
423.00	1.61676201E+4	
424.00	1.60256162E+4	
425.00	1.54957578E+4	
426.00	1.50674443E+4	
427.00	1.47997813E+4	
428.00	1.45046572E+4	
429.00	1.41042607E+4	
430.00	1.37777480E+4	
431.00	1.36968506E+4	
432.00	1.32816055E+4	
433.00	1.28882109E+4	
434.00	1.26062715E+4	
435.00	1.22338018E+4	
436.00	1.19142607E+4	
437.00	1.17316660E+4	
438.00	1.14143867E+4	
439.00	1.10730400E+4	
440.00	1.09200049E+4	
441.00	1.05912852E+4	
442.00	1.03799697E+4	
443.00	1.00499111E+4	
444.00	9.73112793E+3	
445.00	9.24429785E+3	
446.00	9.20202051E+3	
447.00	9.01934961E+3	
448.00	8.68576660E+3	
449.00	8.41120410E+3	
450.00	8.15606250E+3	
451.00	7.88989014E+3	
452.00	7.64944629E+3	
453.00	7.36830859E+3	
454.00	7.27809912E+3	
455.00	7.06628955E+3	
456.00	6.85891406E+3	
457.00	6.58251172E+3	
458.00	6.28152295E+3	
459.00	6.12000537E+3	
460.00	5.93997266E+3	
461.00	5.75812891E+3	
462.00	5.49052393E+3	
463.00	5.47728125E+3	
464.00	5.25213965E+3	
465.00	5.11455762E+3	
466.00	4.88150977E+3	
467.00	4.64346484E+3	
468.00	4.60979785E+3	
469.00	4.42851270E+3	
470.00	4.26379834E+3	
471.00	4.05106738E+3	
472.00	3.89634668E+3	
473.00	3.81052612E+3	
474.00	3.66150342E+3	
475.00	3.62636646E+3	
476.00	3.42611646E+3	
477.00	3.33997021E+3	
478.00	3.22014014E+3	
479.00	3.10167505E+3	
480.00	2.96766211E+3	
481.00	2.89114258E+3	
482.00	2.81030054E+3	
483.00	2.62392993E+3	
484.00	2.56374585E+3	
485.00	2.52773657E+3	
486.00	2.51063574E+3	
487.00	2.42790283E+3	
488.00	2.22813696E+3	
489.00	2.30950439E+3	
490.00	2.17701587E+3	
491.00	2.08763989E+3	
492.00	2.00644983E+3	
493.00	1.93508252E+3	
494.00	1.91098499E+3	
495.00	1.84198547E+3	
496.00	1.76999341E+3	
497.00	1.69245068E+3	
498.00	1.66886609E+3	
499.00	1.54236133E+3	
500.00	1.44612964E+3	
501.00	1.42065503E+3	
502.00	1.35710022E+3	
503.00	1.30389172E+3	
504.00	1.24256128E+3	
505.00	1.18462805E+3	
506.00	1.12782361E+3	
507.00	1.07251111E+3	
508.00	1.04904700E+3	
509.00	1.01575299E+3	
510.00	9.60784241E+2	
511.00	9.19100525E+2	
512.00	9.15992310E+2	
513.00	8.27955933E+2	
514.00	8.49532654E+2	
515.00	8.01609985E+2	
516.00	7.66350037E+2	
517.00	7.46899109E+2	
518.00	6.68420227E+2	
519.00	6.93310242E+2	
520.00	6.68326599E+2	
521.00	6.61836853E+2	
522.00	6.31591858E+2	
523.00	5.86156433E+2	
524.00	5.85629761E+2	
525.00	5.59400330E+2	
526.00	5.32392700E+2	
527.00	5.15765747E+2	
528.00	4.81850281E+2	
529.00	4.89721375E+2	
530.00	4.51621796E+2	
531.00	4.30727234E+2	
532.00	4.08406891E+2	
533.00	3.98538818E+2	
534.00	3.72343018E+2	
535.00	4.00541443E+2	
536.00	3.64531799E+2	
537.00	3.53526093E+2	
538.00	3.60827728E+2	
539.00	3.37102844E+2	
540.00	3.49651184E+2	
541.00	3.24797699E+2	
542.00	2.87907043E+2	
543.00	3.06171326E+2	
544.00	2.87869354E+2	
545.00	2.59643982E+2	
546.00	2.96911896E+2	
547.00	2.55961197E+2	
548.00	2.50299606E+2	
549.00	2.26824646E+2	
550.00	2.12640305E+2	
