Labels	ph04emmissions_360_370
Type	Emission Scan
Comment
Start	370.00
Stop	550.00
Step	1.00
Fixed/Offset	360.00
Xaxis	Wavelength
Yaxis	Counts
Scan Corr. by File	True
Corr. by Ref. Det.	True
Fixed/Offset Corr. by File	False
Repeats	1
Dwell Time	1.00
Lamp	Xe
Temp	0.00
Scan Polariser	None
Scan Slit	1.4995313
Fixed/Offset Polariser	None
Fixed/Offset Slit	1.4995313
Detector	CB Det1

370.00	2.92938599E+2
371.00	2.57722076E+2
372.00	2.20217270E+2
373.00	2.31645157E+2
374.00	1.96033157E+2
375.00	2.05439133E+2
376.00	2.11197495E+2
377.00	1.91789200E+2
378.00	2.04434280E+2
379.00	2.11432785E+2
380.00	1.85959290E+2
381.00	2.06044846E+2
382.00	2.08119125E+2
383.00	2.30855240E+2
384.00	2.37699234E+2
385.00	2.45440384E+2
386.00	2.28867020E+2
387.00	2.21453186E+2
388.00	2.40787231E+2
389.00	2.44797165E+2
390.00	2.49011703E+2
391.00	2.50548386E+2
392.00	2.47229828E+2
393.00	2.49949219E+2
394.00	2.27858643E+2
395.00	2.18733627E+2
396.00	2.20762833E+2
397.00	2.07252655E+2
398.00	2.05266022E+2
399.00	1.94646820E+2
400.00	2.10996872E+2
401.00	2.16550247E+2
402.00	2.47857590E+2
403.00	2.87577667E+2
404.00	4.21677612E+2
405.00	6.45882324E+2
406.00	1.01720490E+3
407.00	1.37428015E+3
408.00	1.79210681E+3
409.00	2.07532813E+3
410.00	2.23968433E+3
411.00	2.31473462E+3
412.00	2.08835864E+3
413.00	1.71845410E+3
414.00	1.28986292E+3
415.00	8.82232300E+2
416.00	5.32032166E+2
417.00	3.34062622E+2
418.00	2.38954880E+2
419.00	2.09423874E+2
420.00	1.91234894E+2
421.00	1.88317596E+2
422.00	1.84036209E+2
423.00	1.87807007E+2
424.00	1.68896042E+2
425.00	1.72365723E+2
426.00	1.58340851E+2
427.00	1.47322739E+2
428.00	1.50906250E+2
429.00	1.45883987E+2
430.00	1.42993225E+2
431.00	1.44561554E+2
432.00	1.38526550E+2
433.00	1.31189987E+2
434.00	1.24102234E+2
435.00	1.25080742E+2
436.00	1.26225677E+2
437.00	1.33748123E+2
438.00	1.33288986E+2
439.00	1.18529884E+2
440.00	1.25256958E+2
441.00	1.23907021E+2
442.00	1.23122330E+2
443.00	1.14097221E+2
444.00	1.16012894E+2
445.00	1.16603516E+2
446.00	1.04768181E+2
447.00	9.76598969E+1
448.00	1.17379288E+2
449.00	1.00800095E+2
450.00	9.48992920E+1
451.00	1.09002632E+2
452.00	1.05056396E+2
453.00	9.03796082E+1
454.00	1.02632027E+2
455.00	9.03483353E+1
456.00	8.75483170E+1
457.00	9.97101288E+1
458.00	8.96077271E+1
459.00	1.03646759E+2
460.00	9.08607025E+1
461.00	9.06168365E+1
462.00	8.38756104E+1
463.00	8.72538528E+1
464.00	8.94099731E+1
465.00	9.07817154E+1
466.00	8.42695694E+1
467.00	8.71690292E+1
468.00	8.39406891E+1
469.00	7.29448242E+1
470.00	8.02154617E+1
471.00	8.28659134E+1
472.00	6.86400909E+1
473.00	8.43331451E+1
474.00	6.77075348E+1
475.00	8.09706955E+1
476.00	7.29130020E+1
477.00	7.46237640E+1
478.00	6.67897110E+1
479.00	7.29302063E+1
480.00	7.20792160E+1
481.00	6.01016426E+1
482.00	6.72480469E+1
483.00	6.54019089E+1
484.00	6.86169052E+1
485.00	6.21880035E+1
486.00	5.61555099E+1
487.00	5.59313087E+1
488.00	6.72801056E+1
489.00	6.47638321E+1
490.00	6.21861877E+1
491.00	5.49012413E+1
492.00	4.94573555E+1
493.00	5.65036469E+1
494.00	5.64343033E+1
495.00	5.90844879E+1
496.00	5.26480446E+1
497.00	5.14271507E+1
498.00	5.47977753E+1
499.00	5.54196053E+1
500.00	5.94023933E+1
501.00	4.94794655E+1
502.00	5.66230774E+1
503.00	5.08702660E+1
504.00	5.08844070E+1
505.00	4.80785904E+1
506.00	4.41735115E+1
507.00	4.92646713E+1
508.00	4.92739525E+1
509.00	5.03035698E+1
510.00	3.74519958E+1
511.00	4.37052078E+1
512.00	3.96614342E+1
513.00	4.12392197E+1
514.00	4.15417290E+1
515.00	4.42144279E+1
516.00	3.14659843E+1
517.00	4.02695541E+1
518.00	3.98475113E+1
519.00	3.80002937E+1
520.00	3.82620888E+1
521.00	3.67564850E+1
522.00	3.56047745E+1
523.00	3.26170883E+1
524.00	3.38808441E+1
525.00	3.84614067E+1
526.00	3.64755783E+1
527.00	2.97781334E+1
528.00	3.18121872E+1
529.00	3.83731270E+1
530.00	2.58768139E+1
531.00	3.36306839E+1
532.00	3.76187592E+1
533.00	2.94453869E+1
534.00	3.19871635E+1
535.00	3.41174202E+1
536.00	2.22538223E+1
537.00	3.10651150E+1
538.00	2.45760403E+1
539.00	2.43239193E+1
540.00	3.17389526E+1
541.00	2.58720245E+1
542.00	2.97174435E+1
543.00	2.58128242E+1
544.00	2.55899582E+1
545.00	3.24129066E+1
546.00	2.34381371E+1
547.00	2.36210594E+1
548.00	2.50683270E+1
549.00	2.05278988E+1
550.00	2.54034977E+1
