Labels	ph06anregung420_410	
Type	Excitation Scan	
Comment		
Start	275.00	
Stop	410.00	
Step	1.00	
Fixed/Offset	420.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	1	
Dwell Time	0.50	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

275.00	7.67395781E+4	
276.00	6.86528984E+4	
277.00	6.20831563E+4	
278.00	5.75269297E+4	
279.00	5.48606914E+4	
280.00	5.45204375E+4	
281.00	5.49332539E+4	
282.00	5.61591836E+4	
283.00	5.67370430E+4	
284.00	5.71697266E+4	
285.00	5.59825664E+4	
286.00	5.09133984E+4	
287.00	4.40088945E+4	
288.00	3.62603203E+4	
289.00	2.90604277E+4	
290.00	2.35984785E+4	
291.00	2.00140605E+4	
292.00	1.73419199E+4	
293.00	1.61427861E+4	
294.00	1.54316514E+4	
295.00	1.57555469E+4	
296.00	1.59120547E+4	
297.00	1.65418750E+4	
298.00	1.72967383E+4	
299.00	1.83368359E+4	
300.00	1.89399082E+4	
301.00	1.97215547E+4	
302.00	2.08611934E+4	
303.00	2.17846855E+4	
304.00	2.22682148E+4	
305.00	2.33765977E+4	
306.00	2.46381582E+4	
307.00	2.59413672E+4	
308.00	2.71933633E+4	
309.00	2.91160488E+4	
310.00	3.06257188E+4	
311.00	3.25802305E+4	
312.00	3.44614844E+4	
313.00	3.60278672E+4	
314.00	3.74374531E+4	
315.00	3.79929258E+4	
316.00	3.80709258E+4	
317.00	3.83215469E+4	
318.00	3.79049570E+4	
319.00	3.77573867E+4	
320.00	3.75347305E+4	
321.00	3.82113828E+4	
322.00	3.87826211E+4	
323.00	3.96762695E+4	
324.00	4.15796992E+4	
325.00	4.34997617E+4	
326.00	4.58590820E+4	
327.00	4.73123828E+4	
328.00	4.76576953E+4	
329.00	4.63308555E+4	
330.00	4.33142969E+4	
331.00	3.84042891E+4	
332.00	3.32432383E+4	
333.00	2.68685215E+4	
334.00	2.13649453E+4	
335.00	1.62389512E+4	
336.00	1.25483438E+4	
337.00	9.00075195E+3	
338.00	6.70011963E+3	
339.00	4.73813232E+3	
340.00	3.42231128E+3	
341.00	2.46141699E+3	
342.00	1.75225525E+3	
343.00	1.32398474E+3	
344.00	9.88190002E+2	
345.00	7.53604187E+2	
346.00	5.89086792E+2	
347.00	4.74548065E+2	
348.00	4.08105743E+2	
349.00	3.40440979E+2	
350.00	2.94289642E+2	
351.00	2.79107300E+2	
352.00	2.45904251E+2	
353.00	2.01197784E+2	
354.00	2.13406143E+2	
355.00	1.89570343E+2	
356.00	2.03224945E+2	
357.00	1.90725922E+2	
358.00	1.96162567E+2	
359.00	1.93419510E+2	
360.00	1.69135620E+2	
361.00	1.76591492E+2	
362.00	2.43650055E+2	
363.00	3.90813110E+2	
364.00	6.74259888E+2	
365.00	1.00430096E+3	
366.00	1.26990710E+3	
367.00	1.29269006E+3	
368.00	1.16060901E+3	
369.00	9.46910095E+2	
370.00	7.27505188E+2	
371.00	4.82840302E+2	
372.00	2.47631058E+2	
373.00	1.42890610E+2	
374.00	9.70964508E+1	
375.00	6.02546234E+1	
376.00	4.45607185E+1	
377.00	3.84959793E+1	
378.00	4.98075867E+1	
379.00	4.31203918E+1	
380.00	4.17254181E+1	
381.00	4.24935913E+1	
382.00	4.34393349E+1	
383.00	4.55490112E+1	
384.00	4.66537476E+1	
385.00	3.67542419E+1	
386.00	4.10348129E+1	
387.00	4.45525818E+1	
388.00	4.05501518E+1	
389.00	3.79699974E+1	
390.00	3.53774261E+1	
391.00	3.68034363E+1	
392.00	4.52453575E+1	
393.00	5.58255730E+1	
394.00	5.48313522E+1	
395.00	3.92405586E+1	
396.00	3.63623848E+1	
397.00	3.43905754E+1	
398.00	3.66438522E+1	
399.00	3.88677635E+1	
400.00	3.79408607E+1	
401.00	3.28886070E+1	
402.00	3.47408791E+1	
403.00	3.95545349E+1	
404.00	3.43930283E+1	
405.00	4.82710571E+1	
406.00	5.32722359E+1	
407.00	5.02741432E+1	
408.00	6.01733627E+1	
409.00	6.46463242E+1	
410.00	6.17932854E+1	
