Labels	ph10emmissions_320_330	
Type	Emission Scan	
Comment		
Start	330.00	
Stop	550.00	
Step	1.00	
Fixed/Offset	320.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	1.00	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

330.00	5.00988721E+3	
331.00	6.51350781E+3	
332.00	8.13377783E+3	
333.00	9.69800000E+3	
334.00	1.13383857E+4	
335.00	1.28403320E+4	
336.00	1.42713438E+4	
337.00	1.56575449E+4	
338.00	1.68322637E+4	
339.00	1.78462832E+4	
340.00	1.86201914E+4	
341.00	1.91477910E+4	
342.00	1.97995859E+4	
343.00	2.02887070E+4	
344.00	2.10381875E+4	
345.00	2.11535176E+4	
346.00	2.14765000E+4	
347.00	2.19413418E+4	
348.00	2.21605215E+4	
349.00	2.24494590E+4	
350.00	2.25562051E+4	
351.00	2.27063359E+4	
352.00	2.28961855E+4	
353.00	2.36154316E+4	
354.00	2.42738301E+4	
355.00	2.51359238E+4	
356.00	2.60801152E+4	
357.00	2.64733438E+4	
358.00	2.59586309E+4	
359.00	2.52544609E+4	
360.00	2.37901660E+4	
361.00	2.25363242E+4	
362.00	2.13479766E+4	
363.00	2.07679766E+4	
364.00	2.02458008E+4	
365.00	2.03075234E+4	
366.00	2.01803340E+4	
367.00	2.07029023E+4	
368.00	2.09501055E+4	
369.00	2.14468301E+4	
370.00	2.21652656E+4	
371.00	2.26896914E+4	
372.00	2.36335273E+4	
373.00	2.48305879E+4	
374.00	2.62073340E+4	
375.00	2.74283398E+4	
376.00	2.94008379E+4	
377.00	3.10586660E+4	
378.00	3.32351953E+4	
379.00	3.55108359E+4	
380.00	3.79035664E+4	
381.00	4.03256563E+4	
382.00	4.26916602E+4	
383.00	4.55414219E+4	
384.00	4.86061914E+4	
385.00	5.15134375E+4	
386.00	5.47330664E+4	
387.00	5.77059102E+4	
388.00	6.10494609E+4	
389.00	6.39697539E+4	
390.00	6.72015078E+4	
391.00	7.02684141E+4	
392.00	7.33069297E+4	
393.00	7.66023203E+4	
394.00	7.98274922E+4	
395.00	8.24786719E+4	
396.00	8.56507500E+4	
397.00	8.85752344E+4	
398.00	9.10967109E+4	
399.00	9.45992031E+4	
400.00	9.70205703E+4	
401.00	9.96066641E+4	
402.00	1.01209320E+5	
403.00	1.03507164E+5	
404.00	1.05448539E+5	
405.00	1.07453625E+5	
406.00	1.09132844E+5	
407.00	1.10949680E+5	
408.00	1.11421852E+5	
409.00	1.12478008E+5	
410.00	1.12177469E+5	
411.00	1.12855617E+5	
412.00	1.13514320E+5	
413.00	1.14121125E+5	
414.00	1.13848570E+5	
415.00	1.14421391E+5	
416.00	1.13638273E+5	
417.00	1.13843641E+5	
418.00	1.14017359E+5	
419.00	1.12999664E+5	
420.00	1.12899375E+5	
421.00	1.11912195E+5	
422.00	1.11049148E+5	
423.00	1.10122969E+5	
424.00	1.09294398E+5	
425.00	1.07901414E+5	
426.00	1.06920789E+5	
427.00	1.05455008E+5	
428.00	1.04320219E+5	
429.00	1.02537680E+5	
430.00	1.00976641E+5	
431.00	1.00320555E+5	
432.00	9.85334766E+4	
433.00	9.68096953E+4	
434.00	9.50681016E+4	
435.00	9.34160469E+4	
436.00	9.16470156E+4	
437.00	9.00155938E+4	
438.00	8.84660781E+4	
439.00	8.64578906E+4	
440.00	8.47651953E+4	
441.00	8.27246797E+4	
442.00	8.07171172E+4	
443.00	7.91447500E+4	
444.00	7.71724219E+4	
445.00	7.47335625E+4	
446.00	7.34575469E+4	
447.00	7.14010625E+4	
448.00	6.97784922E+4	
449.00	6.77090703E+4	
450.00	6.57341719E+4	
451.00	6.38310039E+4	
452.00	6.21240391E+4	
453.00	6.05827188E+4	
454.00	5.88976211E+4	
455.00	5.68274609E+4	
456.00	5.56210742E+4	
457.00	5.37271484E+4	
458.00	5.22850586E+4	
459.00	5.05180117E+4	
460.00	4.91920039E+4	
461.00	4.76352070E+4	
462.00	4.61457031E+4	
463.00	4.46523555E+4	
464.00	4.30144531E+4	
465.00	4.17289922E+4	
466.00	4.02624609E+4	
467.00	3.91123984E+4	
468.00	3.79261094E+4	
469.00	3.65706367E+4	
470.00	3.51353984E+4	
471.00	3.41215234E+4	
472.00	3.30085898E+4	
473.00	3.18940449E+4	
474.00	3.06933379E+4	
475.00	2.97984551E+4	
476.00	2.86896523E+4	
477.00	2.74911465E+4	
478.00	2.67594414E+4	
479.00	2.58997559E+4	
480.00	2.49371211E+4	
481.00	2.38312793E+4	
482.00	2.30102852E+4	
483.00	2.23218613E+4	
484.00	2.12618887E+4	
485.00	2.05048125E+4	
486.00	1.99540117E+4	
487.00	1.91901934E+4	
488.00	1.86221797E+4	
489.00	1.78334160E+4	
490.00	1.70861660E+4	
491.00	1.63810156E+4	
492.00	1.58737881E+4	
493.00	1.52273867E+4	
494.00	1.46891807E+4	
495.00	1.39858955E+4	
496.00	1.36254531E+4	
497.00	1.30085254E+4	
498.00	1.25793379E+4	
499.00	1.19630068E+4	
500.00	1.16016846E+4	
501.00	1.12180010E+4	
502.00	1.07300264E+4	
503.00	1.03663447E+4	
504.00	9.91854297E+3	
505.00	9.59637793E+3	
506.00	9.16293848E+3	
507.00	8.87144043E+3	
508.00	8.46111133E+3	
509.00	8.09856592E+3	
510.00	7.82143359E+3	
511.00	7.50285400E+3	
512.00	7.32761377E+3	
513.00	6.82040723E+3	
514.00	6.58750879E+3	
515.00	6.45722119E+3	
516.00	6.19034277E+3	
517.00	5.79531055E+3	
518.00	5.71957520E+3	
519.00	5.55813135E+3	
520.00	5.25591162E+3	
521.00	5.17689453E+3	
522.00	4.95632568E+3	
523.00	4.66524854E+3	
524.00	4.55460986E+3	
525.00	4.31915039E+3	
526.00	4.12940430E+3	
527.00	3.93005273E+3	
528.00	3.92539209E+3	
529.00	3.65156323E+3	
530.00	3.57942529E+3	
531.00	3.47261353E+3	
532.00	3.34425586E+3	
533.00	3.17952100E+3	
534.00	3.02559277E+3	
535.00	2.94941699E+3	
536.00	2.76667847E+3	
537.00	2.70213330E+3	
538.00	2.64835132E+3	
539.00	2.44539600E+3	
540.00	2.48595752E+3	
541.00	2.33926074E+3	
542.00	2.28557788E+3	
543.00	2.16423853E+3	
544.00	2.13472998E+3	
545.00	2.05550708E+3	
546.00	1.94390442E+3	
547.00	1.87380664E+3	
548.00	1.84093604E+3	
549.00	1.73782141E+3	
550.00	1.65410962E+3	
