Labels	ph12anregung420_410	
Type	Excitation Scan	
Comment		
Start	275.00	
Stop	410.00	
Step	1.00	
Fixed/Offset	420.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	1	
Dwell Time	0.50	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

275.00	3.04636594E+5	
276.00	3.11488781E+5	
277.00	3.20215188E+5	
278.00	3.32173531E+5	
279.00	3.41219438E+5	
280.00	3.44237906E+5	
281.00	3.40323094E+5	
282.00	3.29584500E+5	
283.00	3.12192813E+5	
284.00	2.91044719E+5	
285.00	2.74292844E+5	
286.00	2.60433906E+5	
287.00	2.53837234E+5	
288.00	2.55193734E+5	
289.00	2.61269922E+5	
290.00	2.73324375E+5	
291.00	2.88470344E+5	
292.00	2.95271656E+5	
293.00	2.91874969E+5	
294.00	2.76998844E+5	
295.00	2.52837641E+5	
296.00	2.22493875E+5	
297.00	1.89869344E+5	
298.00	1.58098250E+5	
299.00	1.27809148E+5	
300.00	1.03625805E+5	
301.00	8.48944922E+4	
302.00	7.22925938E+4	
303.00	6.32777969E+4	
304.00	5.76573125E+4	
305.00	5.50955977E+4	
306.00	5.43902109E+4	
307.00	5.50246055E+4	
308.00	5.66482344E+4	
309.00	5.90356328E+4	
310.00	6.17383828E+4	
311.00	6.49355156E+4	
312.00	6.93666953E+4	
313.00	7.33923516E+4	
314.00	7.85176484E+4	
315.00	8.23415234E+4	
316.00	8.77513281E+4	
317.00	9.34087969E+4	
318.00	9.92594063E+4	
319.00	1.05200203E+5	
320.00	1.11973383E+5	
321.00	1.18815914E+5	
322.00	1.25786352E+5	
323.00	1.32910016E+5	
324.00	1.40814828E+5	
325.00	1.49725094E+5	
326.00	1.58234109E+5	
327.00	1.67135359E+5	
328.00	1.75167063E+5	
329.00	1.83528250E+5	
330.00	1.91629281E+5	
331.00	1.99335156E+5	
332.00	2.06831750E+5	
333.00	2.14049031E+5	
334.00	2.20559172E+5	
335.00	2.27606609E+5	
336.00	2.32882703E+5	
337.00	2.37885734E+5	
338.00	2.40862125E+5	
339.00	2.44061688E+5	
340.00	2.46363234E+5	
341.00	2.48848672E+5	
342.00	2.49108719E+5	
343.00	2.50235406E+5	
344.00	2.49679984E+5	
345.00	2.49200031E+5	
346.00	2.48324922E+5	
347.00	2.45893328E+5	
348.00	2.41864766E+5	
349.00	2.37479531E+5	
350.00	2.32432328E+5	
351.00	2.25583438E+5	
352.00	2.17884141E+5	
353.00	2.08691484E+5	
354.00	1.98720984E+5	
355.00	1.88345906E+5	
356.00	1.75998938E+5	
357.00	1.63563094E+5	
358.00	1.50794031E+5	
359.00	1.36872063E+5	
360.00	1.23980141E+5	
361.00	1.11585195E+5	
362.00	1.00642461E+5	
363.00	8.97232031E+4	
364.00	8.01771406E+4	
365.00	7.09888906E+4	
366.00	6.23346172E+4	
367.00	5.43764297E+4	
368.00	4.72348398E+4	
369.00	4.02979023E+4	
370.00	3.40727813E+4	
371.00	2.86615840E+4	
372.00	2.37835840E+4	
373.00	2.00163379E+4	
374.00	1.67762813E+4	
375.00	1.38153594E+4	
376.00	1.15035762E+4	
377.00	9.63930371E+3	
378.00	7.92763672E+3	
379.00	6.51115527E+3	
380.00	5.29112695E+3	
381.00	4.38198682E+3	
382.00	3.59297925E+3	
383.00	2.91950415E+3	
384.00	2.44734937E+3	
385.00	2.02002441E+3	
386.00	1.66286926E+3	
387.00	1.33859473E+3	
388.00	1.09467029E+3	
389.00	9.19098389E+2	
390.00	7.54036133E+2	
391.00	6.41499756E+2	
392.00	5.35070618E+2	
393.00	4.75022552E+2	
394.00	4.03140533E+2	
395.00	3.30734100E+2	
396.00	3.04376801E+2	
397.00	2.68051910E+2	
398.00	2.54606979E+2	
399.00	2.05415329E+2	
400.00	2.06600540E+2	
401.00	2.10079025E+2	
402.00	1.80150330E+2	
403.00	1.86449142E+2	
404.00	2.00416702E+2	
405.00	1.88342590E+2	
406.00	1.89966476E+2	
407.00	1.67910873E+2	
408.00	1.81741196E+2	
409.00	2.07694321E+2	
410.00	1.20393402E+2	
