X Y
0.0 -349
0.1 -330
0.3 -266
0.4 -268
0.5 -266
0.6 -265
0.7 -262
0.8 -262
0.9 -259
1.0 -257
1.1 -255
1.2 -247
1.3 -244
1.4 -240
1.5 -236
1.6 -229
1.7 -219
1.8 -175
1.9 -143
2.0 -130
2.1 -36
2.2 -12
2.3 2
2.4 11
2.5 17
2.6 21
2.7 25
2.8 30
2.9 31
3.0 32
3.1 34
3.2 37
3.3 39
3.4 41
3.5 43
3.6 43
3.7 44
3.8 45
3.9 50
4.0 49
4.1 49
4.2 48
4.3 48
4.4 48
4.5 50
4.6 50
4.7 51
4.8 52
4.9 52
5.0 52
5.1 54
5.2 54
5.3 55
5.4 55
5.5 55
5.6 55
5.7 55
5.8 56
5.9 56
6.0 57
6.1 57
6.2 57
6.3 58
6.4 58
6.5 59
6.6 60
6.7 61
6.8 62
6.9 62
7.0 61
7.1 61
7.1 61
7.2 61
7.3 61
7.4 61
7.5 61
7.6 61
7.7 61
7.8 62
7.9 62
8.0 63
8.1 63
8.2 63
8.3 63
8.4 63
8.5 63
8.6 64
8.7 64
8.8 64
8.9 64
9.0 64
