X Y 
0.05000 190.00000 
0.35000 -20.00000 
0.55000 10.00000 
0.75000 0.00000 
0.95000 20.00000 
1.15000 80.00000 
1.35000 40.00000 
1.55000 70.00000 
1.75000 440.00000 
1.95000 130.00000 
2.15000 240.00000 
2.35000 90.00000 
2.55000 40.00000 
2.75000 50.00000 
2.95000 10.00000 
3.15000 30.00000 
3.35000 20.00000 
3.55000 0.00000 
3.75000 10.00000 
3.95000 -10.00000 
4.15000 -10.00000 
4.35000 0.00000 
4.55000 0.00000 
4.75000 10.00000 
4.95000 0.00000 
5.15000 0.00000 
5.35000 0.00000 
5.55000 0.00000 
5.75000 10.00000 
5.95000 10.00000 
6.15000 0.00000 
6.35000 0.00000 
6.55000 10.00000 
6.75000 10.00000 
6.95000 -10.00000 
7.10000 -nan 
7.25000 0.00000 
7.45000 0.00000 
7.65000 0.00000 
7.85000 0.00000 
8.05000 0.00000 
8.25000 0.00000 
8.45000 0.00000 
8.65000 0.00000 
8.85000 0.00000 
