 X Y
0.1 1.891272523
0.2 1.898857874
0.3 1.914028575
0.4 1.921613925
0.5 1.929199276
0.6 1.944369977
0.7 1.967126029
0.8 1.982296731
0.9 2.012638133
1.0 2.027808834
1.1 2.050564886
1.2 2.080906289
1.3 2.111247691
1.4 2.134003743
1.5 2.156759795
1.6 2.194686548
1.7 2.232613302
1.8 2.285710756
1.9 2.300881457
2.0 2.361564262
2.1 2.414661717
2.2 2.482929873
2.3 2.551198028
2.4 2.763587846
2.5 2.93046556
2.6 3.294562391
2.7 5.410875219
2.8 9.302160095
2.9 9.628330173
3.0 9.802793237
3.1 9.908988146
3.2 9.992427003
3.3 10.05310981
3.4 10.11379261
3.5 10.16689007
3.6 10.21240217
3.7 10.25032893
3.8 10.28067033
3.9 10.30342638
4.0 10.33376778
4.1 10.35652383
4.2 10.37927989
4.3 10.40962129
4.4 10.41720664
4.5 10.44754804
4.6 10.46271874
4.7 10.47788944
4.8 10.48547479
4.9 10.5158162
5.0 10.5309869
5.1 10.5461576
