X Y
0.1 2.584313247
0.2 2.584313247
0.3 2.609295954
0.4 2.642606231
0.5 2.675916507
0.6 2.717554353
0.7 2.817485183
0.8 2.900760874
0.9 2.94239872
1.0 3.009019273
1.1 3.233863639
1.2 3.375432315
1.3 3.566966405
1.4 3.941707016
1.5 4.990980727
1.6 5.565582998
1.7 5.865375487
1.8 6.065237146
1.9 6.198478252
2.0 6.31506422
2.1 6.398339911
2.2 6.481615603
2.3 6.573218863
2.4 6.639839416
2.5 6.706459969
2.6 6.773080522
2.7 6.839701076
2.8 6.914649198
2.9 6.981269751
3.0 7.064545442
3.1 7.131165995
3.2 7.231096825
3.3 7.314372516
3.4 7.447613622
3.5 7.56419959
3.6 7.730750973
3.7 8.030543462
3.8 8.613473302
3.9 9.479540492
4.0 9.804315688
4.1 10.02083249
4.2 10.17072873
4.3 10.2873147
4.4 10.3955731
4.5 10.47052122
4.6 10.5288142
4.7 10.57877962
4.8 10.6370726
4.9 10.67038288
5.0 10.71202072
5.1 10.745331
5.2 10.77031371
5.3 10.81195155
5.4 10.83693426
5.5 10.86191697
5.6 10.88689968
5.7 10.90355481
5.8 10.92853752
5.9 10.95352023
6.0 10.97850294
6.1 10.99515807
6.2 11.00348564
6.3 11.02846835
6.4 11.04512349
6.5 11.05345106
6.6 11.0701062
6.7 11.07843377
6.8 11.0950889
6.9 11.10341647
7.0 11.10341647
