X Y 
0.15000 0.00000 
0.35000 0.33310 
0.55000 0.41638 
0.75000 0.83276 
0.95000 0.66621 
1.15000 1.41569 
1.35000 3.74741 
1.55000 5.74602 
1.75000 1.99862 
1.95000 1.16586 
2.15000 0.83276 
2.35000 0.66621 
2.55000 0.66621 
2.75000 0.74948 
2.95000 0.83276 
3.15000 0.99931 
3.35000 1.33241 
3.55000 1.66551 
3.75000 5.82930 
3.95000 3.24775 
4.15000 1.49896 
4.35000 1.08258 
4.55000 0.58293 
4.75000 0.58293 
4.95000 0.41638 
5.15000 0.24983 
5.35000 0.24983 
5.55000 0.24983 
5.75000 0.24983 
5.95000 0.24983 
6.15000 0.08328 
6.35000 0.16655 
6.55000 0.16655 
6.75000 0.16655 
6.95000 0.00000 
