x y
1 2.584313247
2 2.584313247
3 2.609295954
4 2.642606231
5 2.675916507
6 2.717554353
7 2.817485183
8 2.900760874
9 2.94239872
10 3.009019273
11 3.233863639
12 3.375432315
13 3.566966405
14 3.941707016
15 4.990980727
16 5.565582998
17 5.865375487
18 6.065237146
19 6.198478252
20 6.31506422
21 6.398339911
22 6.481615603
23 6.573218863
24 6.639839416
25 6.706459969
26 6.773080522
27 6.839701076
28 6.914649198
29 6.981269751
30 7.064545442
31 7.131165995
32 7.231096825
33 7.314372516
34 7.447613622
35 7.56419959
36 7.730750973
37 8.030543462
38 8.613473302
39 9.479540492
40 9.804315688
41 10.02083249
42 10.17072873
43 10.2873147
44 10.3955731
45 10.47052122
46 10.5288142
47 10.57877962
48 10.6370726
49 10.67038288
50 10.71202072
51 10.745331
52 10.77031371
53 10.81195155
54 10.83693426
55 10.86191697
56 10.88689968
57 10.90355481
58 10.92853752
59 10.95352023
60 10.97850294
61 10.99515807
62 11.00348564
63 11.02846835
64 11.04512349
65 11.05345106
66 11.0701062
67 11.07843377
68 11.0950889
69 11.10341647
70 11.10341647
