?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Ion Beam Etch\Wait Object\Survey.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
1350.00		4409.04	
1349.00		4888.76	
1348.00		4295.58	
1347.00		4320.08	
1346.00		3988.35	
1345.00		3907.23	
1344.00		3912.65	
1343.00		3901.20	
1342.00		4028.11	
1341.00		3481.12	
1340.00		3779.52	
1339.00		3970.68	
1338.00		3690.36	
1337.00		3572.09	
1336.00		3867.47	
1335.00		3906.63	
1334.00		3784.94	
1333.00		3580.52	
1332.00		3896.99	
1331.00		3632.33	
1330.00		4042.57	
1329.00		4039.56	
1328.00		3349.40	
1327.00		3622.49	
1326.00		3733.53	
1325.00		3730.72	
1324.00		3596.18	
1323.00		3368.47	
1322.00		3670.28	
1321.00		3384.14	
1320.00		3427.31	
1319.00		3565.46	
1318.00		3462.85	
1317.00		3748.19	
1316.00		3228.11	
1315.00		2709.04	
1314.00		3170.28	
1313.00		3159.64	
1312.00		3203.21	
1311.00		3061.04	
1310.00		3681.73	
1309.00		3263.45	
1308.00		3199.60	
1307.00		3471.49	
1306.00		3117.67	
1305.00		3313.45	
1304.00		3395.58	
1303.00		3258.63	
1302.00		2997.79	
1301.00		3030.32	
1300.00		3106.02	
1299.00		3488.96	
1298.00		3285.74	
1297.00		3368.07	
1296.00		3080.32	
1295.00		2975.30	
1294.00		3077.91	
1293.00		2988.55	
1292.00		3386.95	
1291.00		3434.14	
1290.00		3043.98	
1289.00		2864.26	
1288.00		3060.44	
1287.00		3234.74	
1286.00		3460.24	
1285.00		3017.07	
1284.00		3065.26	
1283.00		3137.95	
1282.00		2712.65	
1281.00		2686.75	
1280.00		2757.03	
1279.00		2835.14	
1278.00		2807.63	
1277.00		2813.65	
1276.00		2730.92	
1275.00		2790.36	
1274.00		2684.14	
1273.00		3053.01	
1272.00		2950.40	
1271.00		2693.78	
1270.00		2933.33	
1269.00		2902.41	
1268.00		2880.12	
1267.00		2460.84	
1266.00		2693.78	
1265.00		2776.51	
1264.00		2793.17	
1263.00		2867.67	
1262.00		2774.50	
1261.00		2690.56	
1260.00		2704.42	
1259.00		3032.13	
1258.00		2723.90	
1257.00		2676.91	
1256.00		2807.63	
1255.00		2589.16	
1254.00		2738.55	
1253.00		2654.42	
1252.00		2622.89	
1251.00		2558.03	
1250.00		3007.23	
1249.00		2654.02	
1248.00		2780.32	
1247.00		2578.71	
1246.00		2724.30	
1245.00		2577.51	
1244.00		3073.69	
1243.00		2636.95	
1242.00		2589.76	
1241.00		2400.60	
1240.00		2594.78	
1239.00		2572.89	
1238.00		3011.24	
1237.00		2716.67	
1236.00		2683.33	
1235.00		2713.25	
1234.00		2843.37	
1233.00		2809.24	
1232.00		2584.14	
1231.00		2680.12	
1230.00		2644.18	
1229.00		2700.60	
1228.00		2706.83	
1227.00		2811.65	
1226.00		2506.83	
1225.00		2702.81	
1224.00		2499.00	
1223.00		2339.96	
1222.00		2347.19	
1221.00		2444.18	
1220.00		2792.17	
1219.00		2408.03	
1218.00		2386.75	
1217.00		2197.59	
1216.00		2402.21	
1215.00		1991.37	
1214.00		2095.78	
1213.00		2264.66	
1212.00		1970.48	
1211.00		2527.31	
1210.00		2317.47	
1209.00		2078.31	
1208.00		2371.69	
1207.00		2127.11	
1206.00		2205.62	
1205.00		2375.50	
1204.00		2169.48	
1203.00		2350.40	
1202.00		2521.29	
1201.00		2846.79	
1200.00		2867.67	
1199.00		2623.09	
1198.00		2821.69	
1197.00		2595.38	
1196.00		2839.56	
1195.00		2853.01	
1194.00		2439.36	
1193.00		2574.30	
1192.00		2446.99	
1191.00		2594.98	
1190.00		2439.96	
1189.00		2485.94	
1188.00		2472.49	
1187.00		2189.76	
1186.00		2664.86	
1185.00		2492.97	
1184.00		2334.74	
1183.00		2022.89	
1182.00		2167.47	
1181.00		2003.41	
1180.00		2125.90	
1179.00		2066.47	
1178.00		1849.80	
1177.00		1546.79	
1176.00		1849.40	
1175.00		1825.90	
1174.00		1598.59	
1173.00		1931.33	
1172.00		1812.25	
1171.00		1868.67	
1170.00		1890.96	
1169.00		1587.75	
1168.00		1581.93	
1167.00		1474.50	
1166.00		1638.15	
1165.00		1835.54	
1164.00		1347.19	
1163.00		1509.24	
1162.00		1263.45	
1161.00		1691.97	
1160.00		1432.53	
1159.00		1491.37	
1158.00		1362.05	
1157.00		1444.18	
1156.00		1861.65	
1155.00		1664.66	
1154.00		1515.46	
1153.00		1832.13	
1152.00		2017.87	
1151.00		1743.78	
1150.00		1720.68	
1149.00		1534.14	
1148.00		1887.95	
1147.00		2039.56	
1146.00		1921.69	
1145.00		1909.04	
1144.00		1616.47	
1143.00		1751.41	
1142.00		2193.17	
1141.00		2160.04	
1140.00		1986.14	
1139.00		2513.05	
1138.00		2607.23	
1137.00		2541.77	
1136.00		3045.98	
1135.00		4073.69	
1134.00		3749.00	
1133.00		2911.04	
1132.00		3074.50	
1131.00		2200.40	
1130.00		2504.42	
1129.00		3004.02	
1128.00		2394.78	
1127.00		1834.94	
1126.00		1493.37	
1125.00		1159.24	
1124.00		1264.46	
1123.00		1228.71	
1122.00		1125.70	
1121.00		992.570	
1120.00		1001.00	
1119.00		917.871	
1118.00		1017.27	
1117.00		1100.80	
1116.00		983.936	
1115.00		982.731	
1114.00		918.876	
1113.00		1015.26	
1112.00		1132.93	
1111.00		961.847	
1110.00		823.092	
1109.00		962.450	
1108.00		971.888	
1107.00		809.036	
1106.00		811.044	
1105.00		814.458	
1104.00		849.197	
1103.00		926.305	
1102.00		1074.30	
1101.00		1109.84	
1100.00		1043.78	
1099.00		953.815	
1098.00		1149.80	
1097.00		1073.49	
1096.00		907.631	
