?
Axis	Energy	Elements=	1001
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Ion Beam Etch\Wait Object\Ag3d Scan.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
380.000		79.2317	
379.980		78.0312	
379.960		91.2365	
379.940		120.048	
379.920		78.4314	
379.900		94.8379	
379.880		70.4282	
379.860		63.6255	
379.840		48.0192	
379.820		64.0256	
379.800		68.8275	
379.780		94.8379	
379.760		86.4346	
379.740		94.8379	
379.720		98.4394	
379.700		86.8347	
379.680		102.041	
379.660		86.0344	
379.640		75.6303	
379.620		97.6391	
379.600		81.6327	
379.580		83.2333	
379.560		88.8355	
379.540		99.6399	
379.520		84.8339	
379.500		64.8259	
379.480		88.8355	
379.460		91.2365	
379.440		100.040	
379.420		86.0344	
379.400		80.8323	
379.380		72.4290	
379.360		85.6343	
379.340		92.4370	
379.320		114.046	
379.300		97.6391	
379.280		102.441	
379.260		99.2397	
379.240		75.6303	
379.220		72.0288	
379.200		68.8275	
379.180		76.0304	
379.160		90.0360	
379.140		87.6351	
379.120		74.4298	
379.100		110.044	
379.080		100.040	
379.060		78.0312	
379.040		78.4314	
379.020		68.4274	
379.000		74.0296	
378.980		132.453	
378.960		103.641	
378.940		89.6359	
378.920		82.4330	
378.900		77.6311	
378.880		76.0304	
378.860		90.4362	
378.840		94.0376	
378.820		74.8299	
378.800		98.4394	
378.780		73.2293	
378.760		86.0344	
378.740		115.646	
378.720		97.2389	
378.700		110.844	
378.680		86.0344	
378.660		68.4274	
378.640		64.0256	
378.620		87.2349	
378.600		97.6391	
378.580		88.8355	
378.560		108.043	
378.540		101.641	
378.520		70.4282	
378.500		68.0272	
378.480		78.8315	
378.460		93.2373	
378.440		115.646	
378.420		80.8323	
378.400		111.244	
378.380		82.8331	
378.360		92.0368	
378.340		111.244	
378.320		122.449	
378.300		98.0392	
378.280		96.4386	
378.260		92.4370	
378.240		84.4338	
378.220		90.4362	
378.200		68.0272	
378.180		81.6327	
378.160		68.0272	
378.140		80.8323	
378.120		88.4354	
378.100		98.4394	
378.080		82.8331	
378.060		71.6287	
378.040		104.842	
378.020		140.856	
378.000		126.050	
377.980		110.444	
377.960		104.842	
377.940		91.6367	
377.920		118.447	
377.900		86.0344	
377.880		99.6399	
377.860		108.844	
377.840		104.042	
377.820		110.844	
377.800		107.643	
377.780		92.4370	
377.760		88.0352	
377.740		102.441	
377.720		112.445	
377.700		114.446	
377.680		93.6375	
377.660		97.2389	
377.640		99.6399	
377.620		102.441	
377.600		102.441	
377.580		76.4306	
377.560		86.0344	
377.540		101.641	
377.520		98.0392	
377.500		72.8291	
377.480		95.2381	
377.460		100.840	
377.440		95.2381	
377.420		76.0304	
377.400		80.8323	
377.380		92.8371	
377.360		86.0344	
377.340		80.8323	
377.320		88.8355	
377.300		78.4314	
377.280		67.2269	
377.260		73.2293	
377.240		107.643	
377.220		102.841	
377.200		64.8259	
377.180		88.0352	
377.160		79.6319	
377.140		74.0296	
377.120		84.8339	
377.100		98.0392	
377.080		98.8395	
377.060		56.0224	
377.040		68.0272	
377.020		92.8371	
377.000		102.441	
376.980		80.4322	
376.960		74.8299	
376.940		85.6343	
376.920		80.8323	
376.900		89.2357	
376.880		86.0344	
376.860		98.4394	
376.840		92.4370	
376.820		105.242	
376.800		89.2357	
376.780		56.8227	
376.760		86.4346	
376.740		87.6351	
376.720		94.4378	
376.700		125.250	
376.680		96.8387	
376.660		80.8323	
376.640		92.4370	
376.620		99.2397	
376.600		106.843	
376.580		102.441	
376.560		98.8395	
376.540		86.8347	
376.520		84.0336	
376.500		64.0256	
376.480		68.8275	
376.460		77.6311	
376.440		88.4354	
376.420		114.846	
376.400		122.849	
376.380		98.8395	
376.360		86.4346	
376.340		92.8371	
376.320		101.240	
376.300		95.2381	
376.280		100.440	
376.260		92.0368	
376.240		81.2325	
376.220		78.0312	
376.200		83.6335	
376.180		91.6367	
376.160		102.441	
376.140		102.041	
376.120		79.2317	
376.100		105.242	
376.080		127.251	
376.060		121.649	
376.040		139.256	
376.020		139.656	
376.000		129.252	
375.980		90.0360	
375.960		101.641	
375.940		100.040	
375.920		86.4346	
375.900		86.4346	
375.880		76.4306	
375.860		83.6335	
375.840		94.0376	
375.820		104.442	
375.800		112.045	
375.780		105.642	
375.760		120.848	
375.740		112.445	
375.720		133.253	
375.700		116.447	
375.680		94.4378	
375.660		120.448	
375.640		132.053	
375.620		144.458	
375.600		146.058	
375.580		117.647	
375.560		108.043	
375.540		123.249	
375.520		134.854	
375.500		120.848	
375.480		114.046	
375.460		105.242	
375.440		95.2381	
375.420		114.846	
375.400		96.8387	
375.380		110.044	
375.360		130.052	
375.340		131.653	
375.320		138.055	
375.300		108.844	
375.280		124.050	
375.260		108.043	
375.240		132.053	
375.220		113.645	
375.200		146.459	
375.180		117.247	
375.160		138.856	
375.140		148.459	
375.120		132.853	
375.100		154.062	
375.080		144.058	
375.060		129.652	
375.040		168.467	
375.020		160.064	
375.000		135.654	
374.980		174.870	
374.960		165.666	
374.940		182.473	
374.920		182.473	
374.900		198.479	
374.880		180.872	
374.860		172.469	
374.840		189.676	
374.820		211.685	
374.800		195.678	
374.780		202.881	
374.760		231.293	
374.740		267.707	
374.720		238.095	
374.700		234.094	
374.680		256.903	
374.660		316.126	
374.640		298.519	
374.620		292.117	
374.600		280.512	
374.580		337.335	
374.560		314.926	
374.540		359.744	
374.520		361.345	
374.500		445.378	
374.480		489.796	
374.460		480.992	
374.440		513.806	
374.420		595.438	
374.400		635.854	
374.380		533.413	
374.360		601.841	
374.340		695.478	
374.320		760.704	
374.300		767.107	
374.280		782.713	
374.260		856.343	
374.240		864.746	
374.220		867.947	
374.200		941.577	
