?
Axis	Energy	Elements=	1001
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Ag3d Scan.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
380.000		39.3491	
379.980		36.6813	
379.960		26.6773	
379.940		40.0160	
379.920		58.0232	
379.900		49.3531	
379.880		42.0168	
379.860		52.6877	
379.840		86.7013	
379.820		64.6925	
379.800		43.3507	
379.780		42.0168	
379.760		26.6773	
379.740		41.3499	
379.720		48.6861	
379.700		50.0200	
379.680		68.6941	
379.660		54.0216	
379.640		54.6885	
379.620		51.3539	
379.600		55.3555	
379.580		43.3507	
379.560		50.6869	
379.540		46.6853	
379.520		58.0232	
379.500		67.3603	
379.480		48.0192	
379.460		42.0168	
379.440		58.6901	
379.420		51.3539	
379.400		74.0296	
379.380		74.6965	
379.360		58.6901	
379.340		66.6933	
379.320		39.3491	
379.300		43.3507	
379.280		48.0192	
379.260		51.3539	
379.240		52.6877	
379.220		52.0208	
379.200		58.0232	
379.180		48.6861	
379.160		66.0264	
379.140		60.0240	
379.120		65.3595	
379.100		40.6829	
379.080		56.6893	
379.060		42.6837	
379.040		35.3475	
379.020		76.6973	
379.000		80.0320	
378.980		59.3571	
378.960		41.3499	
378.940		31.3459	
378.920		38.6821	
378.900		52.0208	
378.880		51.3539	
378.860		54.6885	
378.840		54.0216	
378.820		74.6965	
378.800		76.6973	
378.780		71.3619	
378.760		68.6941	
378.740		66.0264	
378.720		39.3491	
378.700		54.0216	
378.680		46.6853	
378.660		56.6893	
378.640		53.3547	
378.620		83.3667	
378.600		72.0288	
378.580		42.6837	
378.560		56.0224	
378.540		70.6949	
378.520		49.3531	
378.500		48.0192	
378.480		46.6853	
378.460		37.3483	
378.440		63.3587	
378.420		57.3563	
378.400		71.3619	
378.380		71.3619	
378.360		61.3579	
378.340		41.3499	
378.320		38.0152	
378.300		60.0240	
378.280		84.7005	
378.260		36.6813	
378.240		26.6773	
378.220		40.0160	
378.200		50.6869	
378.180		22.0088	
378.160		55.3555	
378.140		73.3627	
378.120		69.3611	
378.100		61.3579	
378.080		50.0200	
378.060		45.3515	
378.040		53.3547	
378.020		56.6893	
378.000		47.3523	
377.980		65.3595	
377.960		56.0224	
377.940		101.374	
377.920		85.3675	
377.900		60.6909	
377.880		48.6861	
377.860		37.3483	
377.840		46.6853	
377.820		57.3563	
377.800		84.7005	
377.780		106.709	
377.760		68.6941	
377.740		52.0208	
377.720		41.3499	
377.700		42.6837	
377.680		46.0184	
377.660		66.0264	
377.640		48.6861	
377.620		99.3731	
377.600		74.0296	
377.580		26.0104	
377.560		72.0288	
377.540		82.6997	
377.520		71.3619	
377.500		64.0256	
377.480		51.3539	
377.460		75.3635	
377.440		62.0248	
377.420		71.3619	
377.400		44.6845	
377.380		51.3539	
377.360		42.0168	
377.340		52.0208	
377.320		68.0272	
377.300		78.0312	
377.280		65.3595	
377.260		60.6909	
377.240		49.3531	
377.220		70.6949	
377.200		52.0208	
377.180		70.0280	
377.160		46.6853	
377.140		64.6925	
377.120		80.0320	
377.100		53.3547	
377.080		44.6845	
377.060		56.6893	
377.040		89.3691	
377.020		61.3579	
377.000		43.3507	
376.980		62.6917	
376.960		71.3619	
376.940		68.6941	
376.920		69.3611	
376.900		64.6925	
376.880		60.0240	
376.860		36.0144	
376.840		30.0120	
376.820		71.3619	
376.800		72.0288	
376.780		43.3507	
376.760		53.3547	
376.740		43.3507	
376.720		53.3547	
376.700		42.6837	
376.680		42.6837	
376.660		50.0200	
376.640		60.0240	
376.620		63.3587	
376.600		57.3563	
376.580		44.6845	
376.560		32.0128	
376.540		81.3659	
376.520		58.6901	
376.500		52.0208	
376.480		53.3547	
376.460		48.0192	
376.440		78.0312	
376.420		68.6941	
376.400		74.6965	
376.380		52.0208	
376.360		66.0264	
376.340		54.0216	
376.320		66.0264	
376.300		60.0240	
376.280		32.6797	
376.260		42.0168	
376.240		55.3555	
376.220		68.0272	
376.200		69.3611	
376.180		74.0296	
376.160		56.0224	
376.140		42.0168	
376.120		45.3515	
376.100		65.3595	
376.080		41.3499	
376.060		40.0160	
376.040		62.0248	
376.020		75.3635	
376.000		62.6917	
375.980		69.3611	
375.960		43.3507	
375.940		51.3539	
375.920		69.3611	
375.900		44.0176	
375.880		46.0184	
375.860		72.0288	
375.840		41.3499	
375.820		44.6845	
375.800		47.3523	
375.780		62.0248	
375.760		67.3603	
375.740		78.0312	
375.720		58.0232	
375.700		89.3691	
375.680		61.3579	
375.660		60.0240	
375.640		54.0216	
375.620		61.3579	
375.600		74.0296	
375.580		44.0176	
375.560		44.0176	
375.540		64.6925	
375.520		62.0248	
375.500		54.6885	
375.480		59.3571	
375.460		85.3675	
375.440		84.0336	
375.420		61.3579	
375.400		60.6909	
375.380		59.3571	
375.360		56.0224	
375.340		99.3731	
375.320		102.041	
375.300		46.0184	
375.280		45.3515	
375.260		31.3459	
375.240		54.6885	
375.220		88.0352	
375.200		75.3635	
375.180		66.0264	
375.160		101.374	
375.140		65.3595	
375.120		59.3571	
375.100		72.6957	
375.080		72.0288	
375.060		92.7037	
375.040		50.0200	
375.020		40.0160	
375.000		73.3627	
374.980		64.6925	
374.960		99.3731	
374.940		124.717	
374.920		93.3707	
374.900		98.0392	
374.880		108.710	
374.860		68.0272	
374.840		91.3699	
374.820		98.0392	
374.800		119.381	
374.780		91.3699	
374.760		119.381	
374.740		135.387	
374.720		144.058	
374.700		137.388	
374.680		117.380	
374.660		113.379	
374.640		139.389	
374.620		172.736	
374.600		158.063	
374.580		170.735	
374.560		170.068	
374.540		146.725	
374.520		208.083	
374.500		192.744	
374.480		226.757	
374.460		269.441	
374.440		254.102	
374.420		250.100	
374.400		286.114	
374.380		283.447	
