?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\Grosz_03\Mono 500µm\Multi Point\Survey.VGD


	Position (Pos)\	Pt #003	
	X (X)\µm	22023.6	
	Y (Y)\µm	2940.10	
Binding Energy (E)	
eV		Counts / s
1350.00		308644.	
1349.00		306878.	
1348.00		306934.	
1347.00		304100.	
1346.00		307503.	
1345.00		303915.	
1344.00		304228.	
1343.00		304523.	
1342.00		304393.	
1341.00		302604.	
1340.00		301883.	
1339.00		301495.	
1338.00		301125.	
1337.00		297551.	
1336.00		299973.	
1335.00		303186.	
1334.00		295979.	
1333.00		295624.	
1332.00		297685.	
1331.00		296703.	
1330.00		297256.	
1329.00		296785.	
1328.00		292878.	
1327.00		291591.	
1326.00		291291.	
1325.00		292331.	
1324.00		292907.	
1323.00		290854.	
1322.00		293460.	
1321.00		293492.	
1320.00		290222.	
1319.00		292218.	
1318.00		289906.	
1317.00		291704.	
1316.00		286514.	
1315.00		288425.	
1314.00		292076.	
1313.00		292663.	
1312.00		289428.	
1311.00		290700.	
1310.00		289520.	
1309.00		288989.	
1308.00		290285.	
1307.00		286832.	
1306.00		286265.	
1305.00		291535.	
1304.00		294576.	
1303.00		291276.	
1302.00		289353.	
1301.00		284642.	
1300.00		287183.	
1299.00		290821.	
1298.00		285881.	
1297.00		287163.	
1296.00		288684.	
1295.00		287926.	
1294.00		287429.	
1293.00		287507.	
1292.00		287291.	
1291.00		286161.	
1290.00		285295.	
1289.00		286153.	
1288.00		286934.	
1287.00		288483.	
1286.00		288182.	
1285.00		287200.	
1284.00		285701.	
1283.00		286016.	
1282.00		287261.	
1281.00		288872.	
1280.00		287781.	
1279.00		291490.	
1278.00		288646.	
1277.00		289022.	
1276.00		288556.	
1275.00		288849.	
1274.00		286576.	
1273.00		292525.	
1272.00		291054.	
1271.00		291664.	
1270.00		289613.	
1269.00		293774.	
1268.00		291512.	
1267.00		294077.	
1266.00		290311.	
1265.00		291445.	
1264.00		293287.	
1263.00		292929.	
1262.00		295670.	
1261.00		292666.	
1260.00		289427.	
1259.00		293888.	
1258.00		291956.	
1257.00		294747.	
1256.00		297632.	
1255.00		292228.	
1254.00		291902.	
1253.00		293053.	
1252.00		293944.	
1251.00		297975.	
1250.00		296666.	
1249.00		297689.	
1248.00		298706.	
1247.00		299089.	
1246.00		300196.	
1245.00		299947.	
1244.00		300826.	
1243.00		300516.	
1242.00		301375.	
1241.00		301797.	
1240.00		302506.	
1239.00		303685.	
1238.00		302682.	
1237.00		304508.	
1236.00		303876.	
1235.00		304351.	
1234.00		303437.	
1233.00		305863.	
1232.00		307707.	
1231.00		308878.	
1230.00		312072.	
1229.00		310659.	
1228.00		312608.	
1227.00		311314.	
1226.00		309958.	
1225.00		307579.	
1224.00		307176.	
1223.00		308891.	
1222.00		308320.	
1221.00		310159.	
1220.00		303866.	
1219.00		304495.	
1218.00		295913.	
1217.00		298623.	
1216.00		294710.	
1215.00		294658.	
1214.00		290732.	
1213.00		289372.	
1212.00		288112.	
1211.00		290669.	
1210.00		288657.	
1209.00		289171.	
1208.00		285819.	
1207.00		284770.	
1206.00		283866.	
1205.00		284526.	
1204.00		288667.	
1203.00		284153.	
1202.00		285566.	
1201.00		287645.	
1200.00		287843.	
1199.00		289030.	
1198.00		288553.	
1197.00		291877.	
1196.00		292834.	
1195.00		295518.	
1194.00		290489.	
1193.00		291787.	
1192.00		287052.	
1191.00		290651.	
1190.00		289865.	
1189.00		290427.	
1188.00		288954.	
1187.00		292517.	
1186.00		287224.	
1185.00		290677.	
1184.00		292457.	
1183.00		290635.	
1182.00		291779.	
1181.00		288679.	
1180.00		289929.	
1179.00		292733.	
1178.00		289439.	
1177.00		290293.	
1176.00		292741.	
1175.00		293733.	
1174.00		292102.	
1173.00		291494.	
1172.00		294899.	
1171.00		292444.	
1170.00		293746.	
1169.00		292955.	
1168.00		292717.	
1167.00		293801.	
1166.00		294362.	
1165.00		298125.	
1164.00		295974.	
1163.00		292899.	
1162.00		296735.	
1161.00		295915.	
1160.00		293320.	
1159.00		295940.	
1158.00		296301.	
1157.00		295343.	
1156.00		298855.	
1155.00		299115.	
1154.00		299677.	
1153.00		298805.	
1152.00		304041.	
1151.00		300389.	
1150.00		301174.	
1149.00		298985.	
1148.00		302015.	
1147.00		305920.	
1146.00		304314.	
1145.00		301138.	
1144.00		299708.	
1143.00		301431.	
1142.00		304036.	
1141.00		303997.	
1140.00		304722.	
1139.00		306263.	
1138.00		310574.	
1137.00		303899.	
1136.00		303403.	
1135.00		306104.	
1134.00		307488.	
1133.00		308099.	
1132.00		308819.	
1131.00		308099.	
1130.00		310721.	
1129.00		305987.	
1128.00		310037.	
1127.00		312581.	
1126.00		310397.	
1125.00		311562.	
1124.00		312147.	
1123.00		310159.	
1122.00		314168.	
1121.00		310641.	
1120.00		310207.	
1119.00		310463.	
1118.00		312633.	
1117.00		312639.	
1116.00		316828.	
1115.00		315673.	
1114.00		311227.	
1113.00		313343.	
1112.00		314954.	
1111.00		311988.	
1110.00		310890.	
1109.00		313541.	
1108.00		313923.	
1107.00		313114.	
1106.00		314496.	
1105.00		312739.	
1104.00		313976.	
1103.00		314573.	
1102.00		319096.	
1101.00		316511.	
1100.00		321548.	
1099.00		322988.	
1098.00		323632.	
1097.00		329662.	
1096.00		327337.	
1095.00		322761.	
1094.00		320044.	
1093.00		318756.	
1092.00		317292.	
1091.00		317312.	
1090.00		314831.	
1089.00		315347.	
1088.00		312543.	
1087.00		313739.	
1086.00		317777.	
1085.00		316522.	
1084.00		313193.	
1083.00		313235.	
1082.00		314658.	
1081.00		313503.	
1080.00		311646.	
1079.00		315443.	
1078.00		318708.	
1077.00		312460.	
1076.00		314338.	
1075.00		320714.	
1074.00		324249.	
1073.00		338468.	
1072.00		340977.	
1071.00		327141.	
