?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\Grosz_03\Mono 500µm\Multi Point\Ion Beam Etch\Wait Object\Survey.VGD


	Position (Pos)\	Pt #003	
	X (X)\µm	22023.6	
	Y (Y)\µm	2940.10	
Binding Energy (E)	
eV		Counts / s
1350.00		518848.	
1349.00		519122.	
1348.00		521315.	
1347.00		512246.	
1346.00		507949.	
1345.00		505864.	
1344.00		502730.	
1343.00		496376.	
1342.00		494999.	
1341.00		493599.	
1340.00		484962.	
1339.00		489274.	
1338.00		483250.	
1337.00		481202.	
1336.00		481553.	
1335.00		479258.	
1334.00		477417.	
1333.00		474843.	
1332.00		469682.	
1331.00		467204.	
1330.00		462672.	
1329.00		457815.	
1328.00		454467.	
1327.00		449062.	
1326.00		447333.	
1325.00		444447.	
1324.00		440335.	
1323.00		441380.	
1322.00		441037.	
1321.00		436492.	
1320.00		430321.	
1319.00		428914.	
1318.00		428801.	
1317.00		429756.	
1316.00		429672.	
1315.00		428198.	
1314.00		426627.	
1313.00		425446.	
1312.00		422622.	
1311.00		420354.	
1310.00		419906.	
1309.00		414801.	
1308.00		418142.	
1307.00		418919.	
1306.00		416758.	
1305.00		415006.	
1304.00		414656.	
1303.00		413635.	
1302.00		407690.	
1301.00		409159.	
1300.00		406947.	
1299.00		407471.	
1298.00		405632.	
1297.00		410657.	
1296.00		409879.	
1295.00		405106.	
1294.00		402142.	
1293.00		402965.	
1292.00		400107.	
1291.00		399025.	
1290.00		399553.	
1289.00		396455.	
1288.00		398969.	
1287.00		394833.	
1286.00		399228.	
1285.00		394231.	
1284.00		392676.	
1283.00		394415.	
1282.00		389769.	
1281.00		392584.	
1280.00		392119.	
1279.00		391521.	
1278.00		390059.	
1277.00		388956.	
1276.00		394069.	
1275.00		393090.	
1274.00		394297.	
1273.00		388664.	
1272.00		391417.	
1271.00		388973.	
1270.00		386260.	
1269.00		390144.	
1268.00		385479.	
1267.00		384688.	
1266.00		383831.	
1265.00		384519.	
1264.00		382321.	
1263.00		385866.	
1262.00		382889.	
1261.00		381997.	
1260.00		385793.	
1259.00		382713.	
1258.00		383347.	
1257.00		384201.	
1256.00		382216.	
1255.00		383174.	
1254.00		381292.	
1253.00		383357.	
1252.00		381594.	
1251.00		381352.	
1250.00		383484.	
1249.00		380486.	
1248.00		381508.	
1247.00		382692.	
1246.00		383567.	
1245.00		383405.	
1244.00		383057.	
1243.00		382655.	
1242.00		383279.	
1241.00		385282.	
1240.00		383726.	
1239.00		382662.	
1238.00		382946.	
1237.00		383322.	
1236.00		385162.	
1235.00		384076.	
1234.00		383398.	
1233.00		382279.	
1232.00		383834.	
1231.00		385333.	
1230.00		385285.	
1229.00		384838.	
1228.00		386111.	
1227.00		386402.	
1226.00		385612.	
1225.00		383249.	
1224.00		382003.	
1223.00		382039.	
1222.00		382918.	
1221.00		383480.	
1220.00		385779.	
1219.00		381680.	
1218.00		385205.	
1217.00		380907.	
1216.00		378840.	
1215.00		376988.	
1214.00		378898.	
1213.00		377277.	
1212.00		373907.	
1211.00		373416.	
1210.00		375038.	
1209.00		373324.	
1208.00		372010.	
1207.00		374048.	
1206.00		372320.	
1205.00		373944.	
1204.00		371774.	
1203.00		374502.	
1202.00		376189.	
1201.00		376973.	
1200.00		373585.	
1199.00		376008.	
1198.00		383241.	
1197.00		383182.	
1196.00		386324.	
1195.00		389263.	
1194.00		383635.	
1193.00		380345.	
1192.00		373845.	
1191.00		369464.	
1190.00		368771.	
1189.00		371549.	
1188.00		364765.	
1187.00		363763.	
1186.00		366322.	
1185.00		366516.	
1184.00		365047.	
1183.00		366609.	
1182.00		364911.	
1181.00		365803.	
1180.00		361646.	
1179.00		366585.	
1178.00		365675.	
1177.00		366714.	
1176.00		368503.	
1175.00		370588.	
1174.00		368492.	
1173.00		364755.	
1172.00		367295.	
1171.00		366477.	
1170.00		364898.	
1169.00		369096.	
1168.00		369628.	
1167.00		370067.	
1166.00		371932.	
1165.00		369417.	
1164.00		367580.	
1163.00		370689.	
1162.00		368863.	
1161.00		367770.	
1160.00		373255.	
1159.00		370725.	
1158.00		369010.	
1157.00		372712.	
1156.00		373998.	
1155.00		373107.	
1154.00		373942.	
1153.00		372894.	
1152.00		373129.	
1151.00		374819.	
1150.00		377546.	
1149.00		375831.	
1148.00		379276.	
1147.00		377508.	
1146.00		373182.	
1145.00		380134.	
1144.00		385511.	
1143.00		385009.	
1142.00		383184.	
1141.00		382031.	
1140.00		381857.	
1139.00		382882.	
1138.00		382090.	
1137.00		383981.	
1136.00		386862.	
1135.00		385910.	
1134.00		388280.	
1133.00		388000.	
1132.00		388469.	
1131.00		387665.	
1130.00		387324.	
1129.00		392761.	
1128.00		391636.	
1127.00		393312.	
1126.00		395008.	
1125.00		396599.	
1124.00		397404.	
1123.00		397883.	
1122.00		396880.	
1121.00		395228.	
1120.00		399769.	
1119.00		399615.	
1118.00		393539.	
1117.00		398304.	
1116.00		400704.	
1115.00		403074.	
1114.00		403083.	
1113.00		403249.	
1112.00		401822.	
1111.00		402266.	
1110.00		407419.	
1109.00		404810.	
1108.00		407233.	
1107.00		406644.	
1106.00		404054.	
1105.00		402414.	
1104.00		406506.	
1103.00		412649.	
1102.00		414166.	
1101.00		420760.	
1100.00		425267.	
1099.00		437895.	
1098.00		451127.	
1097.00		453408.	
1096.00		451003.	
1095.00		441541.	
1094.00		426412.	
1093.00		413701.	
1092.00		404823.	
1091.00		398631.	
1090.00		397167.	
1089.00		393062.	
1088.00		389824.	
1087.00		391171.	
1086.00		387524.	
1085.00		387502.	
1084.00		386802.	
1083.00		387082.	
1082.00		387935.	
1081.00		388992.	
1080.00		388726.	
1079.00		394004.	
1078.00		388329.	
1077.00		388996.	
1076.00		390756.	
1075.00		390844.	
1074.00		400536.	
1073.00		409685.	
1072.00		404211.	
