?
Axis	Energy	Elements=	1361

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\Survey_3.VGD





Binding Energy (E)	
eV		Counts / s
1350.00		46516.3	
1349.00		46029.9	
1348.00		45559.4	
1347.00		46689.6	
1346.00		45054.0	
1345.00		47101.6	
1344.00		46443.8	
1343.00		46570.1	
1342.00		46406.4	
1341.00		46082.1	
1340.00		46952.2	
1339.00		46624.3	
1338.00		46180.5	
1337.00		46504.8	
1336.00		45373.5	
1335.00		45688.0	
1334.00		45274.5	
1333.00		46774.5	
1332.00		47206.6	
1331.00		46290.2	
1330.00		46828.3	
1329.00		47172.1	
1328.00		45866.3	
1327.00		47548.6	
1326.00		46909.0	
1325.00		48612.9	
1324.00		47433.7	
1323.00		46881.3	
1322.00		48073.1	
1321.00		47891.8	
1320.00		47781.1	
1319.00		46980.9	
1318.00		48345.4	
1317.00		49038.2	
1316.00		49452.2	
1315.00		48715.5	
1314.00		46687.8	
1313.00		47684.9	
1312.00		48264.1	
1311.00		48236.9	
1310.00		48895.2	
1309.00		48619.3	
1308.00		49409.0	
1307.00		50027.3	
1306.00		49818.3	
1305.00		49342.8	
1304.00		48669.7	
1303.00		49028.1	
1302.00		48852.4	
1301.00		48515.9	
1300.00		49839.6	
1299.00		49892.0	
1298.00		49779.5	
1297.00		49936.7	
1296.00		49746.6	
1295.00		50215.1	
1294.00		50968.9	
1293.00		49802.4	
1292.00		50262.2	
1291.00		49439.4	
1290.00		50664.1	
1289.00		52799.4	
1288.00		53050.0	
1287.00		50857.0	
1286.00		51069.7	
1285.00		51539.6	
1284.00		52153.0	
1283.00		52995.4	
1282.00		51713.1	
1281.00		52514.1	
1280.00		53242.8	
1279.00		50458.2	
1278.00		53084.7	
1277.00		53076.9	
1276.00		54506.6	
1275.00		52445.8	
1274.00		52030.9	
1273.00		53801.0	
1272.00		53540.2	
1271.00		51934.1	
1270.00		53712.2	
1269.00		52166.3	
1268.00		53492.0	
1267.00		53242.6	
1266.00		52981.9	
1265.00		54088.0	
1264.00		53505.8	
1263.00		55809.8	
1262.00		55973.3	
1261.00		55986.3	
1260.00		55437.6	
1259.00		56152.4	
1258.00		57170.3	
1257.00		55831.7	
1256.00		55612.9	
1255.00		54943.8	
1254.00		56312.9	
1253.00		57395.4	
1252.00		57182.5	
1251.00		57019.9	
1250.00		57845.8	
1249.00		57200.4	
1248.00		58250.4	
1247.00		57732.3	
1246.00		57941.2	
1245.00		58148.4	
1244.00		58962.4	
1243.00		59398.0	
1242.00		59226.3	
1241.00		60054.0	
1240.00		61812.2	
1239.00		60108.8	
1238.00		61597.8	
1237.00		61977.9	
1236.00		60735.1	
1235.00		62506.4	
1234.00		63098.2	
