?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
298.000		2042.82		0.000000	0.000000	0.000000	0.000000	0.000000	2042.93	-0.113207	
297.980		1957.93		2026.48	2026.48	2026.48	2026.60	2026.48	2026.60	-68.6789	
297.960		2056.25		2023.12	2023.12	2023.12	2023.24	2023.12	2023.24	33.0066	
297.940		2045.68		2019.44	2019.44	2019.44	2019.57	2019.44	2019.57	26.1014	
297.920		2058.25		2015.61	2015.61	2015.61	2015.76	2015.61	2015.76	42.4953	
297.900		1967.93		2015.39	2015.39	2015.39	2015.55	2015.39	2015.55	-47.6187	
297.880		2032.81		2011.77	2011.77	2011.77	2011.94	2011.77	2011.94	20.8730	
297.860		2077.12		2007.95	2007.95	2007.95	2008.13	2007.95	2008.13	68.9895	
297.840		2133.71		2003.56	2003.56	2003.56	2003.74	2003.56	2003.74	129.966	
297.820		2037.67		2001.37	2001.37	2001.37	2001.57	2001.37	2001.57	36.1004	
297.800		2036.53		2001.17	2001.17	2001.17	2001.38	2001.17	2001.38	35.1514	
297.780		2063.40		1997.38	1997.38	1997.38	1997.61	1997.38	1997.61	65.7915	
297.760		1932.49		1995.10	1995.10	1995.10	1995.34	1995.10	1995.34	-62.8535	
297.740		1928.20		1992.49	1992.49	1992.49	1992.74	1992.49	1992.74	-64.5413	
297.720		1995.66		1992.05	1992.05	1992.05	1992.31	1992.05	1992.31	3.34224	
297.700		1967.93		1989.59	1989.59	1989.59	1989.88	1989.59	1989.88	-21.9451	
297.680		1958.21		1986.33	1986.33	1986.33	1986.63	1986.33	1986.63	-28.4191	
297.660		2087.98		1983.12	1983.12	1983.12	1983.44	1983.12	1983.44	104.538	
297.640		1959.64		1979.48	1979.48	1979.48	1979.82	1979.48	1979.82	-20.1769	
297.620		1962.21		1972.87	1972.87	1972.87	1973.22	1972.87	1973.22	-11.0050	
297.600		1869.89		1965.29	1965.29	1965.29	1965.66	1965.29	1965.66	-95.7732	
297.580		1899.33		1958.74	1958.74	1958.74	1959.13	1958.74	1959.13	-59.7998	
297.560		2012.81		1954.65	1954.65	1954.65	1955.06	1954.65	1955.06	57.7442	
297.540		1907.91		1949.27	1949.27	1949.27	1949.70	1949.27	1949.70	-41.7961	
