?
Axis	Energy	Elements=	1001

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\O1s Scan.VGD





Binding Energy (E)				O1s Scan A	O1s Scan B	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
545.000		4587.26		4480.69	4480.69	4480.69	4480.69	106.570	
544.980		4542.10		4480.22	4480.22	4480.22	4480.22	61.8837	
544.960		4473.22		4478.87	4478.87	4478.87	4478.87	-5.65146	
544.940		4493.51		4476.80	4476.80	4476.80	4476.80	16.7139	
544.920		4476.36		4473.83	4473.83	4473.83	4473.83	2.53006	
544.900		4528.67		4471.02	4471.02	4471.02	4471.02	57.6522	
544.880		4580.40		4468.04	4468.04	4468.04	4468.04	112.362	
544.860		4335.45		4464.48	4464.48	4464.48	4464.48	-129.036	
544.840		4297.72		4460.52	4460.52	4460.52	4460.52	-162.803	
544.820		4435.20		4455.94	4455.94	4455.94	4455.94	-20.7379	
544.800		4549.53		4450.83	4450.83	4450.83	4450.83	98.7070	
544.780		4506.95		4445.40	4445.40	4445.40	4445.40	61.5422	
544.760		4442.63		4439.95	4439.95	4439.95	4439.95	2.68711	
544.740		4623.85		4434.55	4434.55	4434.55	4434.55	189.299	
544.720		4604.41		4429.25	4429.25	4429.25	4429.25	175.166	
544.700		4647.57		4424.28	4424.28	4424.28	4424.28	223.290	
544.680		4420.91		4419.35	4419.35	4419.35	4419.35	1.55694	
544.660		4485.79		4414.14	4414.14	4414.14	4414.14	71.6591	
544.640		4587.26		4408.84	4408.84	4408.84	4408.84	178.427	
544.620		4541.82		4403.71	4403.71	4403.71	4403.71	138.110	
544.600		4598.12		4398.75	4398.75	4398.75	4398.75	199.378	
544.580		4572.11		4393.25	4393.25	4393.25	4393.25	178.861	
544.560		4501.80		4386.95	4386.95	4386.95	4386.95	114.854	
544.540		4407.76		4380.75	4380.75	4380.75	4380.75	27.0085	
544.520		4368.03		4374.58	4374.58	4374.58	4374.58	-6.54617	
544.500		4435.20		4368.09	4368.09	4368.09	4368.09	67.1132	
544.480		4310.30		4361.47	4361.47	4361.47	4361.47	-51.1733	
544.460		4348.31		4355.08	4355.08	4355.08	4355.08	-6.76663	
544.440		4476.08		4348.75	4348.75	4348.75	4348.75	127.331	
544.420		4384.61		4342.97	4342.97	4342.97	4342.97	41.6426	
544.400		4353.74		4337.20	4337.20	4337.20	4337.20	16.5391	
544.380		4407.76		4331.38	4331.38	4331.38	4331.38	76.3826	
544.360		4398.04		4325.91	4325.91	4325.91	4325.91	72.1384	
544.340		4444.06		4320.76	4320.76	4320.76	4320.76	123.307	
544.320		4261.13		4316.40	4316.40	4316.40	4316.40	-55.2662	
544.300		4410.34		4312.23	4312.23	4312.23	4312.23	98.1015	
544.280		4477.51		4307.90	4307.90	4307.90	4307.90	169.604	
544.260		4347.74		4303.51	4303.51	4303.51	4303.51	44.2326	
544.240		4408.33		4299.32	4299.32	4299.32	4299.32	109.012	
544.220		4449.21		4295.23	4295.23	4295.23	4295.23	153.980	
544.200		4330.30		4291.27	4291.27	4291.27	4291.27	39.0323	
544.180		4292.86		4287.38	4287.38	4287.38	4287.38	5.47885	
544.160		4380.32		4283.57	4283.57	4283.57	4283.57	96.7527	
544.140		4347.74		4279.82	4279.82	4279.82	4279.82	67.9161	
544.120		4316.30		4276.09	4276.09	4276.09	4276.09	40.2101	
544.100		4223.69		4272.39	4272.39	4272.39	4272.39	-48.6983	
544.080		4409.19		4268.85	4268.85	4268.85	4268.85	140.346	
544.060		4460.93		4265.40	4265.40	4265.40	4265.40	195.524	
544.040		4328.59		4261.98	4261.98	4261.98	4261.98	66.6059	
544.020		4197.96		4258.81	4258.81	4258.81	4258.81	-60.8440	
544.000		4308.58		4256.22	4256.22	4256.22	4256.22	52.3631	
543.980		4169.10		4253.75	4253.75	4253.75	4253.75	-84.6567	
543.960		4232.55		4251.41	4251.41	4251.41	4251.41	-18.8550	
543.940		4356.89		4249.14	4249.14	4249.14	4249.14	107.748	
543.920		4272.28		4246.90	4246.90	4246.90	4246.90	25.3810	
543.900		4258.56		4244.65	4244.65	4244.65	4244.65	13.9112	
543.880		4305.15		4242.49	4242.49	4242.49	4242.49	62.6636	
543.860		4254.84		4240.58	4240.58	4240.58	4240.58	14.2651	
543.840		4323.44		4238.92	4238.92	4238.92	4238.92	84.5242	
543.820		4166.24		4236.76	4236.76	4236.76	4236.76	-70.5221	
543.800		4241.98		4234.62	4234.62	4234.62	4234.62	7.36163	
543.780		4201.97		4232.74	4232.74	4232.74	4232.74	-30.7734	
543.760		4231.98		4231.05	4231.05	4231.05	4231.05	0.929577	
543.740		4297.43		4229.23	4229.23	4229.23	4229.23	68.1994	
543.720		4351.74		4227.41	4227.41	4227.41	4227.41	124.330	
543.700		4250.27		4225.51	4225.51	4225.51	4225.51	24.7639	
543.680		4226.26		4223.59	4223.59	4223.59	4223.59	2.66916	
543.660		4280.00		4221.81	4221.81	4221.81	4221.81	58.1883	
543.640		4185.96		4219.96	4219.96	4219.96	4219.96	-33.9984	
543.620		4147.94		4218.03	4218.03	4218.03	4218.03	-70.0854	
543.600		4352.03		4215.97	4215.97	4215.97	4215.97	136.052	
543.580		4329.73		4213.54	4213.54	4213.54	4213.54	116.190	
543.560		4290.57		4211.39	4211.39	4211.39	4211.39	79.1825	
543.540		4174.81		4208.78	4208.78	4208.78	4208.78	-33.9646	
543.520		4187.96		4205.77	4205.77	4205.77	4205.77	-17.8121	
543.500		4240.55		4202.62	4202.62	4202.62	4202.62	37.9293	
543.480		4132.22		4199.52	4199.52	4199.52	4199.52	-67.3006	
543.460		4164.81		4196.28	4196.28	4196.28	4196.28	-31.4693	
543.440		4215.69		4193.10	4193.10	4193.10	4193.10	22.5841	
543.420		4231.41		4189.41	4189.41	4189.41	4189.41	41.9996	
543.400		4220.83		4184.80	4184.80	4184.80	4184.80	36.0323	
543.380		4287.72		4180.02	4180.02	4180.02	4180.02	107.693	
543.360		4300.29		4174.92	4174.92	4174.92	4174.92	125.376	
543.340		4144.80		4169.55	4169.55	4169.55	4169.55	-24.7536	
543.320		4237.41		4164.31	4164.31	4164.31	4164.31	73.0990	
543.300		4281.14		4159.56	4159.56	4159.56	4159.56	121.581	
543.280		4152.80		4154.83	4154.83	4154.83	4154.83	-2.02144	
543.260		4115.93		4149.49	4149.49	4149.49	4149.49	-33.5541	
543.240		4247.13		4143.67	4143.67	4143.67	4143.67	103.455	
543.220		4226.55		4137.64	4137.64	4137.64	4137.64	88.9113	
543.200		4320.87		4131.44	4131.44	4131.44	4131.44	189.427	
543.180		4418.05		4125.52	4125.52	4125.52	4125.52	292.538	
543.160		4210.26		4119.64	4119.64	4119.64	4119.64	90.6193	
543.140		4167.38		4113.64	4113.64	4113.64	4113.64	53.7433	
543.120		4098.78		4107.51	4107.51	4107.51	4107.51	-8.72393	
543.100		4176.53		4101.70	4101.70	4101.70	4101.70	74.8239	
543.080		4032.18		4096.26	4096.26	4096.26	4096.26	-64.0746	
543.060		4159.95		4090.55	4090.55	4090.55	4090.55	69.4014	
543.040		4249.41		4084.81	4084.81	4084.81	4084.81	164.600	
543.020		4209.97		4079.00	4079.00	4079.00	4079.00	130.973	
543.000		4171.38		4073.05	4073.05	4073.05	4073.05	98.3322	
542.980		4038.76		4067.01	4067.01	4067.01	4067.01	-28.2467	
542.960		3931.00		4061.64	4061.64	4061.64	4061.64	-130.635	
542.940		4057.34		4056.83	4056.83	4056.83	4056.83	0.503370	
542.920		4130.80		4052.27	4052.27	4052.27	4052.27	78.5292	
542.900		4123.65		4048.02	4048.02	4048.02	4048.02	75.6247	
542.880		4036.47		4043.99	4043.99	4043.99	4043.99	-7.51619	
542.860		4046.19		4040.61	4040.61	4040.61	4040.61	5.57712	
542.840		4103.36		4037.54	4037.54	4037.54	4037.54	65.8121	
542.820		4112.22		4034.71	4034.71	4034.71	4034.71	77.5092	
542.800		4176.53		4032.10	4032.10	4032.10	4032.10	144.428	
542.780		4062.20		4029.51	4029.51	4029.51	4029.51	32.6887	
542.760		4014.75		4027.13	4027.13	4027.13	4027.13	-12.3856	
542.740		3888.98		4024.74	4024.74	4024.74	4024.74	-135.752	
542.720		3917.28		4022.80	4022.80	4022.80	4022.80	-105.514	
542.700		4131.65		4020.93	4020.93	4020.93	4020.93	110.718	
542.680		4203.11		4018.68	4018.68	4018.68	4018.68	184.432	
542.660		4041.90		4016.52	4016.52	4016.52	4016.52	25.3874	
542.640		3852.11		4014.14	4014.14	4014.14	4014.14	-162.023	
542.620		3912.71		4011.65	4011.65	4011.65	4011.65	-98.9467	
542.600		4020.18		4009.08	4009.08	4009.08	4009.08	11.0992	
542.580		3881.27		4006.13	4006.13	4006.13	4006.13	-124.865	
542.560		4083.92		4003.28	4003.28	4003.28	4003.28	80.6395	
542.540		4106.50		4000.66	4000.66	4000.66	4000.66	105.835	
542.520		4151.66		3998.79	3998.79	3998.79	3998.79	152.873	
542.500		3953.30		3997.10	3997.10	3997.10	3997.10	-43.8070	
