?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Survey.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
1350.00		2525.77	
1349.00		2620.48	
1348.00		2717.87	
1347.00		2422.69	
1346.00		2397.59	
1345.00		2221.22	
1344.00		2401.27	
1343.00		2460.84	
1342.00		1952.14	
1341.00		2128.51	
1340.00		2761.38	
1339.00		2452.48	
1338.00		2541.83	
1337.00		2687.75	
1336.00		2774.77	
1335.00		2600.07	
1334.00		2697.79	
1333.00		2039.16	
1332.00		1927.04	
1331.00		2520.08	
1330.00		2329.32	
1329.00		1722.89	
1328.00		2228.92	
1327.00		2393.24	
1326.00		2247.66	
1325.00		2655.29	
1324.00		2722.22	
1323.00		2042.50	
1322.00		1915.66	
1321.00		2327.31	
1320.00		2403.95	
1319.00		2249.33	
1318.00		2609.44	
1317.00		2387.88	
1316.00		2272.09	
1315.00		2584.34	
1314.00		1901.61	
1313.00		2365.46	
1312.00		2230.25	
1311.00		1995.98	
1310.00		2131.86	
1309.00		1763.72	
1308.00		1887.22	
1307.00		1686.75	
1306.00		1771.75	
1305.00		1908.30	
1304.00		2516.06	
1303.00		2513.39	
1302.00		2283.47	
1301.00		2545.52	
1300.00		1994.98	
1299.00		1779.12	
1298.00		2103.41	
1297.00		2062.58	
1296.00		2053.88	
1295.00		2250.33	
1294.00		1983.60	
1293.00		2033.47	
1292.00		2056.22	
1291.00		2039.49	
1290.00		2558.90	
1289.00		2285.14	
1288.00		1906.63	
1287.00		2120.82	
1286.00		2258.03	
1285.00		2157.97	
1284.00		2307.56	
1283.00		2071.29	
1282.00		2298.86	
1281.00		1851.74	
1280.00		1752.01	
1279.00		2244.98	
1278.00		2477.91	
1277.00		2409.30	
1276.00		1966.53	
1275.00		2170.35	
1274.00		2038.15	
1273.00		1716.53	
1272.00		2057.90	
1271.00		2137.22	
1270.00		1745.98	
1269.00		1773.09	
1268.00		2212.52	
1267.00		2175.70	
1266.00		1640.90	
1265.00		1907.63	
1264.00		1757.36	
1263.00		2061.58	
1262.00		2271.75	
1261.00		1948.46	
1260.00		1574.97	
1259.00		2250.67	
1258.00		1933.73	
1257.00		2398.59	
1256.00		1829.65	
1255.00		2250.33	
1254.00		1784.81	
1253.00		1824.30	
1252.00		1609.10	
1251.00		2020.08	
1250.00		1863.12	
1249.00		2072.62	
1248.00		2145.58	
1247.00		1807.23	
1246.00		1709.17	
1245.00		1717.54	
1244.00		1820.28	
1243.00		1614.46	
1242.00		1956.83	
1241.00		1868.81	
1240.00		1751.00	
1239.00		1892.24	
1238.00		1842.03	
1237.00		1767.74	
1236.00		1711.18	
1235.00		2037.82	
1234.00		2112.12	
1233.00		2116.80	
1232.00		1938.09	
1231.00		1825.97	
1230.00		2052.54	
1229.00		1841.03	
1228.00		1717.20	
1227.00		1799.20	
1226.00		1949.46	
1225.00		1681.39	
1224.00		2005.69	
1223.00		1775.77	
1222.00		2173.69	
1221.00		1976.91	
1220.00		1630.86	
1219.00		1498.66	
1218.00		1952.81	
1217.00		1796.52	
1216.00		1664.99	
1215.00		1741.97	
1214.00		1721.55	
1213.00		1551.54	
1212.00		1478.92	
1211.00		1659.64	
1210.00		1452.14	
1209.00		1603.75	
1208.00		1513.05	
1207.00		1769.08	
1206.00		1991.30	
1205.00		1781.46	
1204.00		1433.73	
1203.00		1508.03	
1202.00		1674.36	
1201.00		1731.26	
1200.00		1422.02	
1199.00		1690.76	
1198.00		1622.49	
1197.00		2021.08	
1196.00		1532.13	
1195.00		1432.06	
1194.00		1305.22	
1193.00		1922.69	
1192.00		1640.90	
1191.00		1629.85	
1190.00		1636.55	
1189.00		1717.87	
1188.00		1625.50	
1187.00		1677.38	
1186.00		1445.11	
1185.00		1681.73	
1184.00		1334.67	
1183.00		1395.58	
1182.00		1718.21	
1181.00		1430.39	
1180.00		1126.51	
1179.00		1332.66	
1178.00		1644.24	
1177.00		1151.94	
1176.00		1196.45	
1175.00		1379.52	
1174.00		1743.64	
1173.00		1435.41	
1172.00		1011.71	
1171.00		1201.47	
1170.00		1082.66	
1169.00		1387.55	
1168.00		1422.69	
1167.00		1267.07	
1166.00		1327.64	
1165.00		1302.21	
1164.00		1190.76	
1163.00		1169.34	
1162.00		1240.29	
1161.00		1493.98	
1160.00		1690.09	
1159.00		1163.65	
1158.00		1382.20	
1157.00		1288.82	
1156.00		1230.92	
1155.00		1084.34	
1154.00		1136.21	
1153.00		1343.71	
1152.00		1113.79	
1151.00		868.809	
1150.00		1401.27	
1149.00		1156.63	
1148.00		1389.56	
1147.00		1334.00	
1146.00		1372.16	
1145.00		1356.43	
1144.00		1252.34	
1143.00		944.110	
1142.00		1340.70	
1141.00		1135.88	
1140.00		1132.86	
1139.00		1321.29	
1138.00		1370.82	
1137.00		1274.43	
1136.00		1517.40	
1135.00		1546.52	
1134.00		1433.73	
1133.00		1310.24	
1132.00		1463.52	
1131.00		1371.15	
1130.00		1292.50	
1129.00		1462.52	
1128.00		1224.56	
1127.00		941.767	
1126.00		890.228	
1125.00		1184.40	
1124.00		787.818	
1123.00		896.921	
1122.00		975.904	
1121.00		870.817	
1120.00		1031.79	
1119.00		826.305	
1118.00		682.396	
1117.00		848.059	
1116.00		959.839	
1115.00		807.229	
1114.00		706.493	
1113.00		954.819	
1112.00		941.432	
1111.00		827.309	
1110.00		846.386	
1109.00		855.756	
1108.00		752.343	
1107.00		746.988	
1106.00		817.604	
1105.00		1044.18	
1104.00		1067.60	
1103.00		1113.79	
1102.00		978.916	
1101.00		782.798	
1100.00		1002.68	
1099.00		935.408	
1098.00		877.175	
1097.00		835.676	
1096.00		780.120	
1095.00		904.284	
1094.00		788.487	
